r,l,t
-51,1,0.0037839412689208984
-51,2,0.007889986038208008
-51,3,0.011427879333496094
-51,4,0.017103910446166992
-51,5,0.022110939025878906
78.0,6,0.04458189010620117
95.0,7,0.04997897148132324
95.0,8,0.05528879165649414
95.0,9,0.05960798263549805
95.0,10,0.06371498107910156
95.0,11,0.06791996955871582
95.0,12,0.07164692878723145
95.0,13,0.07519388198852539
95.0,14,0.0788869857788086
95.0,15,0.08275294303894043
95.0,16,0.08644509315490723
95.0,17,0.0899960994720459
95.0,18,0.09384870529174805
95.0,19,0.09730696678161621
95.0,20,0.10131573677062988
95.0,21,0.1051180362701416
95.0,22,0.10889601707458496
95.0,23,0.11231589317321777
95.0,24,0.11656403541564941
95.0,25,0.12024974822998047
95.0,26,0.12377405166625977
95.0,27,0.12732696533203125
95.0,28,0.13110089302062988
95.0,29,0.13517284393310547
95.0,30,0.13872480392456055
95.0,31,0.14244890213012695
95.0,32,0.1459369659423828
95.0,33,0.15044617652893066
95.0,34,0.15405488014221191
95.0,35,0.15788483619689941
95.0,36,0.1614830493927002
95.0,37,0.1658487319946289
95.0,38,0.16944098472595215
95.0,39,0.17282414436340332
95.0,40,0.17623090744018555
95.0,41,0.1801469326019287
95.0,42,0.1836240291595459
95.0,43,0.1870429515838623
95.0,44,0.19056200981140137
95.0,45,0.19405007362365723
95.0,46,0.1975688934326172
95.0,47,0.20088696479797363
95.0,48,0.20435190200805664
95.0,49,0.20844602584838867
95.0,50,0.21165108680725098
95.0,51,0.2147209644317627
95.0,52,0.2192518711090088
95.0,53,0.22341680526733398
95.0,54,0.22732281684875488
95.0,55,0.23305296897888184
95.0,56,0.23808789253234863
95.0,57,0.24248194694519043
95.0,58,0.24646782875061035
95.0,59,0.25032973289489746
95.0,60,0.2541670799255371
95.0,61,0.2582688331604004
95.0,62,0.2620060443878174
95.0,63,0.26552891731262207
95.0,64,0.26920390129089355
95.0,65,0.27321791648864746
95.0,66,0.2769191265106201
95.0,67,0.28075075149536133
95.0,68,0.2845120429992676
95.0,69,0.2887229919433594
95.0,70,0.2922530174255371
95.0,71,0.29585790634155273
95.0,72,0.2994570732116699
95.0,73,0.30301380157470703
95.0,74,0.30650973320007324
95.0,75,0.31027793884277344
95.0,76,0.31395792961120605
95.0,77,0.3174629211425781
95.0,78,0.32120704650878906
95.0,79,0.3247408866882324
95.0,80,0.3282318115234375
95.0,81,0.33173203468322754
95.0,82,0.3352210521697998
95.0,83,0.3387579917907715
95.0,84,0.3423600196838379
95.0,85,0.3461267948150635
95.0,86,0.34950995445251465
95.0,87,0.35279202461242676
95.0,88,0.35642075538635254
95.0,89,0.3598449230194092
95.0,90,0.3633100986480713
95.0,91,0.3669917583465576
95.0,92,0.37050914764404297
95.0,93,0.37400388717651367
95.0,94,0.3774898052215576
95.0,95,0.3809621334075928
95.0,96,0.38481903076171875
95.0,97,0.38831090927124023
95.0,98,0.3917717933654785
95.0,99,0.39527082443237305
95.0,100,0.39888787269592285
