r,l,t
-51,1,0.006589174270629883
-51,2,0.014309167861938477
-51,3,0.023015260696411133
-51,4,0.02800726890563965
-51,5,0.033309221267700195
92.0,6,0.04465818405151367
95.0,7,0.049532175064086914
95.0,8,0.05446910858154297
95.0,9,0.059797048568725586
95.0,10,0.06452512741088867
95.0,11,0.06847524642944336
95.0,12,0.0723872184753418
95.0,13,0.07625532150268555
95.0,14,0.08012628555297852
95.0,15,0.08388209342956543
95.0,16,0.08760333061218262
95.0,17,0.09158921241760254
95.0,18,0.09590029716491699
95.0,19,0.0996541976928711
95.0,20,0.10331320762634277
95.0,21,0.10696911811828613
95.0,22,0.1110830307006836
95.0,23,0.11485123634338379
95.0,24,0.11869525909423828
95.0,25,0.12230229377746582
95.0,26,0.12612295150756836
95.0,27,0.129960298538208
95.0,28,0.13377022743225098
95.0,29,0.13743996620178223
95.0,30,0.14097094535827637
95.0,31,0.14517617225646973
95.0,32,0.14912915229797363
95.0,33,0.15317010879516602
95.0,34,0.15747404098510742
95.0,35,0.16150403022766113
95.0,36,0.16533923149108887
95.0,37,0.1692032814025879
95.0,38,0.17325735092163086
95.0,39,0.17763137817382812
95.0,40,0.1813671588897705
95.0,41,0.18558001518249512
95.0,42,0.1893901824951172
95.0,43,0.19358325004577637
95.0,44,0.19736218452453613
95.0,45,0.20105433464050293
95.0,46,0.20475411415100098
95.0,47,0.20880627632141113
95.0,48,0.2125401496887207
95.0,49,0.21634411811828613
95.0,50,0.22028803825378418
95.0,51,0.22464418411254883
95.0,52,0.2290360927581787
95.0,53,0.23370122909545898
95.0,54,0.23845601081848145
95.0,55,0.24301719665527344
95.0,56,0.24692296981811523
95.0,57,0.2505331039428711
95.0,58,0.25449609756469727
95.0,59,0.2588801383972168
95.0,60,0.26261019706726074
95.0,61,0.26682114601135254
95.0,62,0.27074217796325684
95.0,63,0.2747802734375
95.0,64,0.278536319732666
95.0,65,0.2823910713195801
95.0,66,0.2859940528869629
95.0,67,0.29001808166503906
95.0,68,0.29366111755371094
95.0,69,0.29754114151000977
95.0,70,0.3013780117034912
95.0,71,0.3050661087036133
95.0,72,0.30905699729919434
95.0,73,0.31280517578125
95.0,74,0.3166391849517822
95.0,75,0.3205440044403076
95.0,76,0.3244330883026123
95.0,77,0.3284111022949219
95.0,78,0.331923246383667
95.0,79,0.33595800399780273
95.0,80,0.33962321281433105
95.0,81,0.34384608268737793
95.0,82,0.34775495529174805
95.0,83,0.3514852523803711
95.0,84,0.35519933700561523
95.0,85,0.3589291572570801
95.0,86,0.3627622127532959
95.0,87,0.36676025390625
95.0,88,0.3707451820373535
95.0,89,0.3747823238372803
95.0,90,0.3789963722229004
95.0,91,0.3826920986175537
95.0,92,0.38643813133239746
95.0,93,0.3905673027038574
95.0,94,0.39431214332580566
95.0,95,0.39817333221435547
95.0,96,0.40201425552368164
95.0,97,0.4059262275695801
95.0,98,0.41027021408081055
95.0,99,0.4142882823944092
95.0,100,0.4179542064666748
