r,l,t
-51,1,0.005095958709716797
-51,2,0.011676788330078125
-51,3,0.016301870346069336
-51,4,0.020549774169921875
-51,5,0.024450063705444336
-51,6,0.05887794494628906
93.0,7,0.06354880332946777
95.0,8,0.06756186485290527
95.0,9,0.07120275497436523
95.0,10,0.07472777366638184
95.0,11,0.07846593856811523
95.0,12,0.08224987983703613
95.0,13,0.08594775199890137
95.0,14,0.08944368362426758
95.0,15,0.09303784370422363
95.0,16,0.09667778015136719
95.0,17,0.10092997550964355
95.0,18,0.10448575019836426
95.0,19,0.1078648567199707
95.0,20,0.11191606521606445
95.0,21,0.11620402336120605
95.0,22,0.11988568305969238
95.0,23,0.12347173690795898
95.0,24,0.12700891494750977
95.0,25,0.1312239170074463
95.0,26,0.13511991500854492
95.0,27,0.1388559341430664
95.0,28,0.14293885231018066
95.0,29,0.14673304557800293
95.0,30,0.1507866382598877
95.0,31,0.1543889045715332
95.0,32,0.1578679084777832
95.0,33,0.16158485412597656
95.0,34,0.16555190086364746
95.0,35,0.16942596435546875
95.0,36,0.17293381690979004
95.0,37,0.17659282684326172
95.0,38,0.1800708770751953
95.0,39,0.18366575241088867
95.0,40,0.18790602684020996
95.0,41,0.19165897369384766
95.0,42,0.19513988494873047
95.0,43,0.19872689247131348
95.0,44,0.2035830020904541
95.0,45,0.20735692977905273
95.0,46,0.21131491661071777
95.0,47,0.21529865264892578
95.0,48,0.21969103813171387
95.0,49,0.22388792037963867
95.0,50,0.22757196426391602
95.0,51,0.2327728271484375
95.0,52,0.23764491081237793
95.0,53,0.24166488647460938
95.0,54,0.2451457977294922
95.0,55,0.24900197982788086
95.0,56,0.2527759075164795
95.0,57,0.25675487518310547
95.0,58,0.2606170177459717
95.0,59,0.2641887664794922
95.0,60,0.26821303367614746
95.0,61,0.2717428207397461
95.0,62,0.2755298614501953
95.0,63,0.27904367446899414
95.0,64,0.28321385383605957
95.0,65,0.28656983375549316
95.0,66,0.29054999351501465
95.0,67,0.2938549518585205
95.0,68,0.29784488677978516
95.0,69,0.3011620044708252
95.0,70,0.3046588897705078
95.0,71,0.30834293365478516
95.0,72,0.3119077682495117
95.0,73,0.3165168762207031
95.0,74,0.32137084007263184
95.0,75,0.32579469680786133
95.0,76,0.3295629024505615
95.0,77,0.3336451053619385
95.0,78,0.3378260135650635
95.0,79,0.3414027690887451
95.0,80,0.34519195556640625
95.0,81,0.3491640090942383
95.0,82,0.3531017303466797
95.0,83,0.35826778411865234
95.0,84,0.36223387718200684
95.0,85,0.36608004570007324
95.0,86,0.3704218864440918
95.0,87,0.3742818832397461
95.0,88,0.3781397342681885
95.0,89,0.3819446563720703
95.0,90,0.38583874702453613
95.0,91,0.38993382453918457
95.0,92,0.39392995834350586
95.0,93,0.3979768753051758
95.0,94,0.4017648696899414
95.0,95,0.40567493438720703
95.0,96,0.40941786766052246
95.0,97,0.4131960868835449
95.0,98,0.41739702224731445
95.0,99,0.4213099479675293
95.0,100,0.42513489723205566
