r,l,t
-51,1,0.004256010055541992
-51,2,0.008399248123168945
-51,3,0.01266932487487793
-51,4,0.019083023071289062
-51,5,0.02316904067993164
-51,6,0.06272625923156738
61.0,7,0.08584022521972656
78.0,8,0.09958505630493164
-51,9,0.1290602684020996
-51,10,0.15983223915100098
95.0,11,0.16381525993347168
95.0,12,0.16742920875549316
95.0,13,0.17110919952392578
95.0,14,0.17614531517028809
95.0,15,0.18004727363586426
95.0,16,0.18389034271240234
95.0,17,0.18780231475830078
95.0,18,0.19236230850219727
95.0,19,0.1963362693786621
95.0,20,0.20017409324645996
95.0,21,0.20395112037658691
95.0,22,0.2079763412475586
95.0,23,0.21204829216003418
95.0,24,0.21595025062561035
95.0,25,0.2197413444519043
95.0,26,0.22353219985961914
95.0,27,0.2275841236114502
95.0,28,0.23200631141662598
95.0,29,0.23687028884887695
95.0,30,0.24155330657958984
95.0,31,0.24563932418823242
95.0,32,0.2492222785949707
95.0,33,0.2531871795654297
95.0,34,0.2571840286254883
95.0,35,0.2611672878265381
95.0,36,0.2651240825653076
95.0,37,0.2687861919403076
95.0,38,0.27243518829345703
95.0,39,0.2762763500213623
95.0,40,0.28002309799194336
95.0,41,0.28356504440307617
95.0,42,0.2874460220336914
95.0,43,0.2909712791442871
95.0,44,0.2949082851409912
95.0,45,0.29841113090515137
95.0,46,0.30223941802978516
95.0,47,0.3057541847229004
95.0,48,0.309603214263916
95.0,49,0.3132331371307373
95.0,50,0.31681203842163086
95.0,51,0.32068610191345215
95.0,52,0.32430434226989746
95.0,53,0.3278384208679199
95.0,54,0.33155322074890137
95.0,55,0.33518314361572266
95.0,56,0.3389561176300049
95.0,57,0.3431260585784912
95.0,58,0.34687018394470215
95.0,59,0.3505830764770508
95.0,60,0.35431718826293945
95.0,61,0.3585033416748047
95.0,62,0.3624882698059082
95.0,63,0.3661501407623291
95.0,64,0.36980319023132324
95.0,65,0.37378406524658203
95.0,66,0.37771010398864746
95.0,67,0.38132619857788086
95.0,68,0.3847391605377197
95.0,69,0.38865113258361816
95.0,70,0.39211225509643555
95.0,71,0.39534831047058105
95.0,72,0.3992912769317627
95.0,73,0.4029350280761719
95.0,74,0.40659618377685547
95.0,75,0.41019725799560547
95.0,76,0.41371631622314453
95.0,77,0.41762423515319824
95.0,78,0.42139530181884766
95.0,79,0.4256551265716553
95.0,80,0.429401159286499
95.0,81,0.43328118324279785
95.0,82,0.4382352828979492
95.0,83,0.4422922134399414
95.0,84,0.44624829292297363
95.0,85,0.4498741626739502
95.0,86,0.45369720458984375
95.0,87,0.45749402046203613
95.0,88,0.46128320693969727
95.0,89,0.4650552272796631
95.0,90,0.4689152240753174
95.0,91,0.47258520126342773
95.0,92,0.4763650894165039
95.0,93,0.4802381992340088
95.0,94,0.483856201171875
95.0,95,0.4876363277435303
95.0,96,0.49140024185180664
95.0,97,0.49532318115234375
95.0,98,0.49904727935791016
95.0,99,0.5027651786804199
95.0,100,0.5064151287078857
