r,l,t
-52,51,0.004463911056518555
95.0,5,0.006161928176879883
70.0,30,0.009601831436157227
94.0,6,0.010808944702148438
89.0,11,0.012233972549438477
91.0,9,0.013661861419677734
80.0,20,0.015817880630493164
77.0,23,0.018008947372436523
92.0,8,0.01941704750061035
81.0,19,0.02182173728942871
80.0,20,0.024697065353393555
85.0,15,0.026749849319458008
94.0,6,0.0279238224029541
81.0,19,0.02979898452758789
92.0,8,0.031002044677734375
84.0,16,0.03342103958129883
83.0,17,0.03522491455078125
95.0,5,0.036581993103027344
73.0,27,0.03962373733520508
92.0,8,0.041220903396606445
84.0,16,0.04327702522277832
80.0,20,0.04524993896484375
92.0,8,0.04659080505371094
84.0,16,0.048097848892211914
92.0,8,0.04905271530151367
85.0,15,0.05039095878601074
93.0,7,0.05132889747619629
94.0,6,0.052278995513916016
89.0,11,0.0532989501953125
83.0,17,0.0547330379486084
93.0,7,0.05565690994262695
93.0,7,0.05649995803833008
86.0,14,0.057734012603759766
93.0,7,0.05850791931152344
88.0,12,0.05955696105957031
91.0,9,0.060423851013183594
92.0,8,0.06120800971984863
72.0,28,0.06312274932861328
84.0,16,0.06437015533447266
92.0,8,0.0652000904083252
91.0,9,0.06601595878601074
94.0,6,0.06669497489929199
88.0,12,0.06760096549987793
77.0,23,0.0689399242401123
93.0,7,0.06962704658508301
81.0,19,0.07076096534729004
67.0,33,0.0725088119506836
91.0,9,0.07318282127380371
90.0,10,0.0739450454711914
80.0,20,0.07510590553283691
88.0,12,0.0758969783782959
75.0,25,0.07729196548461914
92.0,8,0.0780329704284668
75.0,25,0.07952594757080078
61.0,39,0.08156490325927734
87.0,13,0.08248496055603027
92.0,8,0.08319997787475586
88.0,12,0.08401083946228027
92.0,8,0.0846860408782959
84.0,16,0.08567118644714355
93.0,7,0.08636093139648438
86.0,14,0.0872659683227539
91.0,9,0.08798098564147949
83.0,17,0.08903908729553223
95.0,5,0.08959102630615234
87.0,13,0.09047698974609375
83.0,17,0.09156489372253418
87.0,13,0.09249496459960938
93.0,7,0.09313702583312988
82.0,18,0.09428596496582031
82.0,18,0.09547305107116699
83.0,17,0.09679985046386719
86.0,14,0.09772109985351562
92.0,8,0.09839391708374023
89.0,11,0.09925079345703125
87.0,13,0.10014200210571289
88.0,12,0.10095596313476562
88.0,12,0.1018521785736084
88.0,12,0.10266590118408203
72.0,28,0.1041879653930664
85.0,15,0.1051781177520752
91.0,9,0.10589408874511719
89.0,11,0.10676097869873047
81.0,19,0.10795307159423828
87.0,13,0.10880184173583984
89.0,11,0.10963797569274902
87.0,13,0.11050701141357422
94.0,6,0.11116194725036621
91.0,9,0.1118781566619873
95.0,5,0.11249089241027832
78.0,22,0.11381196975708008
87.0,13,0.11469006538391113
60.0,40,0.11674380302429199
82.0,18,0.11779975891113281
92.0,8,0.11848998069763184
79.0,21,0.11966609954833984
89.0,11,0.12044191360473633
93.0,7,0.12112998962402344
91.0,9,0.1219937801361084
90.0,10,0.12270402908325195
