r,l,t
55.0,45,0.003452777862548828
84.0,16,0.005872011184692383
92.0,8,0.007158041000366211
93.0,7,0.00864100456237793
89.0,11,0.009957075119018555
88.0,12,0.011575937271118164
89.0,11,0.013077020645141602
91.0,9,0.015108108520507812
89.0,11,0.01714801788330078
90.0,10,0.018780946731567383
78.0,22,0.02135300636291504
82.0,18,0.023602962493896484
78.0,22,0.026419878005981445
93.0,7,0.027746915817260742
80.0,20,0.029857873916625977
93.0,7,0.031244993209838867
92.0,8,0.0324399471282959
92.0,8,0.03348803520202637
91.0,9,0.03516101837158203
89.0,11,0.03691601753234863
75.0,25,0.03920888900756836
93.0,7,0.0403139591217041
93.0,7,0.041552066802978516
81.0,19,0.04328584671020508
87.0,13,0.04481983184814453
87.0,13,0.04660916328430176
94.0,6,0.047699928283691406
91.0,9,0.04907703399658203
93.0,7,0.050302982330322266
92.0,8,0.051260948181152344
94.0,6,0.05202198028564453
86.0,14,0.053236961364746094
95.0,5,0.053984880447387695
92.0,8,0.05481386184692383
74.0,26,0.056684017181396484
94.0,6,0.05737805366516113
87.0,13,0.05843615531921387
90.0,10,0.059313058853149414
86.0,14,0.060534000396728516
78.0,22,0.06234002113342285
95.0,5,0.06310486793518066
79.0,21,0.06470179557800293
91.0,9,0.06561088562011719
86.0,14,0.06692910194396973
85.0,15,0.0683131217956543
85.0,15,0.06956315040588379
84.0,16,0.0707387924194336
90.0,10,0.07169795036315918
88.0,12,0.07293415069580078
93.0,7,0.07367587089538574
76.0,24,0.07522296905517578
90.0,10,0.07606005668640137
79.0,21,0.07747697830200195
84.0,16,0.07860302925109863
89.0,11,0.07953405380249023
91.0,9,0.08046412467956543
76.0,24,0.08181095123291016
95.0,5,0.08238887786865234
79.0,21,0.08365416526794434
71.0,29,0.0853879451751709
77.0,23,0.08670210838317871
95.0,5,0.08730101585388184
91.0,9,0.08800888061523438
94.0,6,0.08864784240722656
85.0,15,0.0896151065826416
94.0,6,0.09028816223144531
92.0,8,0.09107184410095215
85.0,15,0.09202408790588379
83.0,17,0.09306907653808594
81.0,19,0.09437417984008789
93.0,7,0.09502100944519043
69.0,31,0.09664797782897949
92.0,8,0.09728789329528809
91.0,9,0.09803009033203125
88.0,12,0.09891390800476074
86.0,14,0.09995889663696289
73.0,27,0.10156702995300293
94.0,6,0.10218501091003418
86.0,14,0.10324406623840332
87.0,13,0.10423111915588379
84.0,16,0.1053309440612793
77.0,23,0.1066129207611084
76.0,24,0.10793280601501465
88.0,12,0.10882711410522461
95.0,5,0.10944199562072754
85.0,15,0.1103830337524414
93.0,7,0.11100006103515625
89.0,11,0.11177396774291992
80.0,20,0.11298084259033203
95.0,5,0.1135258674621582
89.0,11,0.11437201499938965
94.0,6,0.11510705947875977
94.0,6,0.11561393737792969
86.0,14,0.1166830062866211
92.0,8,0.11744499206542969
79.0,21,0.11879301071166992
72.0,28,0.12031888961791992
85.0,15,0.12125205993652344
95.0,5,0.1218569278717041
84.0,16,0.12284684181213379
