r,l,t
-52,51,0.0040743350982666016
-52,51,0.009236335754394531
62.0,38,0.012192964553833008
-52,51,0.01559901237487793
-52,51,0.018929243087768555
-52,51,0.022658109664916992
-52,51,0.0271761417388916
-52,51,0.03047800064086914
-52,51,0.034090280532836914
-52,51,0.03707003593444824
-52,51,0.04058408737182617
70.0,30,0.04242205619812012
-52,51,0.04511713981628418
84.0,16,0.04620790481567383
61.0,39,0.04823803901672363
-52,51,0.05087924003601074
-52,51,0.05380392074584961
86.0,14,0.05478215217590332
54.0,46,0.05744004249572754
75.0,25,0.05884408950805664
-52,51,0.06134605407714844
76.0,24,0.06267714500427246
88.0,12,0.06348419189453125
88.0,12,0.06437492370605469
80.0,20,0.06560516357421875
91.0,9,0.06638503074645996
95.0,5,0.06697916984558105
90.0,10,0.06771707534790039
88.0,12,0.06872105598449707
81.0,19,0.06989407539367676
72.0,28,0.07144999504089355
50.0,50,0.07382011413574219
87.0,13,0.07464909553527832
83.0,17,0.07570314407348633
92.0,8,0.07632923126220703
87.0,13,0.07718229293823242
84.0,16,0.078125
87.0,13,0.07900619506835938
65.0,35,0.0808250904083252
88.0,12,0.08161020278930664
82.0,18,0.08277010917663574
78.0,22,0.08400726318359375
95.0,5,0.08465814590454102
87.0,13,0.08563709259033203
65.0,35,0.08742904663085938
88.0,12,0.08825325965881348
76.0,24,0.08964228630065918
67.0,33,0.0913231372833252
93.0,7,0.09192228317260742
92.0,8,0.09257316589355469
94.0,6,0.09317398071289062
80.0,20,0.09432697296142578
81.0,19,0.09543609619140625
70.0,30,0.09705018997192383
86.0,14,0.09791302680969238
93.0,7,0.09853100776672363
87.0,13,0.0993661880493164
83.0,17,0.10046005249023438
78.0,22,0.10181307792663574
76.0,24,0.10321211814880371
95.0,5,0.10376429557800293
79.0,21,0.10495615005493164
92.0,8,0.10559511184692383
88.0,12,0.1064140796661377
90.0,10,0.10727715492248535
83.0,17,0.10820817947387695
80.0,20,0.10933804512023926
85.0,15,0.1102592945098877
79.0,21,0.1114652156829834
91.0,9,0.1121981143951416
91.0,9,0.1129450798034668
85.0,15,0.11388111114501953
73.0,27,0.11534714698791504
68.0,32,0.11699604988098145
89.0,11,0.11779403686523438
81.0,19,0.11904501914978027
86.0,14,0.11995100975036621
82.0,18,0.12104225158691406
90.0,10,0.12175607681274414
71.0,29,0.12331318855285645
72.0,28,0.12487220764160156
93.0,7,0.1254730224609375
93.0,7,0.1260840892791748
94.0,6,0.12671303749084473
85.0,15,0.1276562213897705
86.0,14,0.12887811660766602
59.0,41,0.13091707229614258
93.0,7,0.13152623176574707
79.0,21,0.13270211219787598
87.0,13,0.13354802131652832
90.0,10,0.13445401191711426
87.0,13,0.13534998893737793
64.0,36,0.13715410232543945
71.0,29,0.13872909545898438
81.0,19,0.13982319831848145
79.0,21,0.14099407196044922
80.0,20,0.1421952247619629
94.0,6,0.14278316497802734
90.0,10,0.14349722862243652
93.0,7,0.14406704902648926
