r,l,t
1174,1,0.050373077392578125
1318,2,0.08817934989929199
1302,3,0.1277632713317871
1374,4,0.1659252643585205
1318,5,0.20420312881469727
4000,6,0.2820751667022705
3512,7,0.35452914237976074
3488,8,0.4253671169281006
3594,9,0.49860119819641113
3544,10,0.5750472545623779
3832,11,0.6443042755126953
3734,12,0.7178101539611816
3452,13,0.7915241718292236
3658,14,0.8644611835479736
3774,15,0.9386191368103027
3622,16,1.0188491344451904
3590,17,1.097412109375
3282,18,1.1729161739349365
3394,19,1.2502939701080322
3672,20,1.3289620876312256
3736,21,1.4064502716064453
3704,22,1.484281063079834
3638,23,1.560838222503662
3922,24,1.634620189666748
3774,25,1.7117183208465576
3628,26,1.7880010604858398
3452,27,1.8649992942810059
3602,28,1.9383182525634766
3742,29,2.017669200897217
3706,30,2.0951662063598633
3328,31,2.170863151550293
3790,32,2.244497299194336
3910,33,2.322092056274414
3328,34,2.396481990814209
4088,35,2.4754741191864014
3966,36,2.5554873943328857
3806,37,2.6341171264648438
3522,38,2.708623170852661
3250,39,2.7843880653381348
3718,40,2.8622331619262695
3766,41,2.9396321773529053
3522,42,3.016055107116699
3714,43,3.093079090118408
3568,44,3.1687841415405273
3912,45,3.2462031841278076
3478,46,3.3218600749969482
4038,47,3.3968372344970703
3572,48,3.4748520851135254
3492,49,3.5520009994506836
3334,50,3.622939109802246
3496,51,3.7026093006134033
3638,52,3.779236078262329
3888,53,3.856572151184082
3894,54,3.9336602687835693
3034,55,4.009780168533325
4016,56,4.085818290710449
3400,57,4.16393518447876
4000,58,4.241674184799194
3802,59,4.314638137817383
3344,60,4.387413263320923
3820,61,4.464640140533447
3778,62,4.54161524772644
3092,63,4.619866132736206
3724,64,4.697086334228516
3670,65,4.772823095321655
3896,66,4.848713159561157
4162,67,4.925024032592773
3508,68,5.0002570152282715
3728,69,5.081639289855957
3848,70,5.160325288772583
3958,71,5.23785924911499
3502,72,5.315263271331787
3540,73,5.388688087463379
3524,74,5.460099220275879
3636,75,5.537736177444458
3686,76,5.612318277359009
3528,77,5.684260129928589
3800,78,5.759184122085571
3680,79,5.837734222412109
3500,80,5.912991285324097
3924,81,5.989323139190674
3480,82,6.063689231872559
3720,83,6.1362690925598145
3550,84,6.2103800773620605
3680,85,6.284045219421387
3894,86,6.354304075241089
3586,87,6.429372310638428
3394,88,6.504501104354858
3792,89,6.574373245239258
3148,90,6.647065162658691
3596,91,6.722378969192505
3704,92,6.799067258834839
3768,93,6.878335952758789
3112,94,6.953540086746216
3374,95,7.0286383628845215
3560,96,7.107182025909424
3340,97,7.182025194168091
3696,98,7.257425308227539
3536,99,7.33507513999939
4186,100,7.412299156188965
3926,101,7.4831132888793945
3416,102,7.5610191822052
3822,103,7.640529155731201
3692,104,7.718985319137573
3484,105,7.7987730503082275
3732,106,7.877808094024658
3278,107,7.954101085662842
3576,108,8.033364295959473
3958,109,8.108790159225464
3614,110,8.18452501296997
3878,111,8.261325120925903
3446,112,8.337459325790405
4164,113,8.41330099105835
3664,114,8.487679958343506
3586,115,8.565060138702393
3606,116,8.640366077423096
3724,117,8.728126287460327
3754,118,8.809061288833618
3516,119,8.88321304321289
3606,120,8.96260404586792
3462,121,9.039302110671997
3182,122,9.1183443069458
3540,123,9.19409728050232
3940,124,9.270121335983276
3668,125,9.344306230545044
3902,126,9.419025182723999
3766,127,9.49578332901001
3638,128,9.572265386581421
3642,129,9.648211240768433
3876,130,9.725741147994995
3966,131,9.802147150039673
3614,132,9.879011154174805
3258,133,9.956478357315063
3524,134,10.034355163574219
4046,135,10.110221147537231
4006,136,10.185045957565308
3666,137,10.257963180541992
3800,138,10.333266258239746
3850,139,10.405580997467041
3862,140,10.478877305984497
3658,141,10.553275108337402
3432,142,10.626532077789307
3574,143,10.699900150299072
4192,144,10.776186227798462
4102,145,10.853199243545532
3976,146,10.92927622795105
4130,147,11.007080316543579
4358,148,11.083924293518066
3102,149,11.15897822380066
4380,150,11.23465609550476
4020,151,11.311546087265015
3814,152,11.385468244552612
3820,153,11.461594104766846
4208,154,11.53770899772644
3922,155,11.614095211029053
3574,156,11.688494205474854
3890,157,11.765314102172852
3148,158,11.842087268829346
3604,159,11.918476104736328
3696,160,11.994303941726685
4004,161,12.070270299911499
4124,162,12.147810220718384
3788,163,12.223759174346924
3408,164,12.29847502708435
3946,165,12.376022100448608
3190,166,12.4519522190094
3900,167,12.525254249572754
3426,168,12.600192070007324
3360,169,12.676006317138672
3936,170,12.75200629234314
3906,171,12.828259229660034
3812,172,12.903403997421265
3642,173,12.978857278823853
3456,174,13.056149244308472
3642,175,13.132206201553345
3432,176,13.207678318023682
4032,177,13.282524108886719
3330,178,13.358006000518799
3666,179,13.43596625328064
3286,180,13.511058330535889
3674,181,13.586926221847534
3432,182,13.66165828704834
4050,183,13.738595247268677
3482,184,13.816084384918213
3860,185,13.889368057250977
3566,186,13.967509269714355
3254,187,14.045416355133057
4222,188,14.123309135437012
3802,189,14.1997230052948
3950,190,14.276406049728394
3770,191,14.35456919670105
3600,192,14.433140277862549
3092,193,14.508439064025879
4612,194,14.581976175308228
3752,195,14.65722918510437
3622,196,14.733226299285889
3256,197,14.810867309570312
3668,198,14.892138242721558
3750,199,14.970776081085205
3554,200,15.046637058258057
