r,l,t
1348,1,0.04287004470825195
1446,2,0.08349418640136719
1340,3,0.13093924522399902
1468,4,0.17328214645385742
1342,5,0.21468424797058105
2302,6,0.296079158782959
2138,7,0.3763442039489746
2238,8,0.45497703552246094
2922,9,0.5354270935058594
2992,10,0.6140899658203125
3374,11,0.6928110122680664
3308,12,0.7728931903839111
3398,13,0.8509492874145508
3360,14,0.927253007888794
3984,15,1.006312370300293
3498,16,1.0853581428527832
3032,17,1.1637952327728271
3100,18,1.2411530017852783
2998,19,1.320392370223999
2964,20,1.395357370376587
3074,21,1.4670352935791016
2628,22,1.5386481285095215
2692,23,1.6089181900024414
2804,24,1.6811730861663818
3038,25,1.7543201446533203
3114,26,1.8225750923156738
3286,27,1.8937993049621582
3218,28,1.9724853038787842
3370,29,2.0495991706848145
3966,30,2.1216182708740234
4196,31,2.1899940967559814
3866,32,2.262672185897827
3572,33,2.336219310760498
3832,34,2.4076762199401855
3042,35,2.480114221572876
4070,36,2.552605152130127
3784,37,2.62599515914917
3450,38,2.696765184402466
3960,39,2.7660343647003174
4232,40,2.8353121280670166
3582,41,2.9049782752990723
3602,42,2.9769411087036133
3720,43,3.051814317703247
3926,44,3.122666120529175
3236,45,3.190819263458252
4284,46,3.2603509426116943
3766,47,3.3303091526031494
4130,48,3.4014573097229004
3856,49,3.47646427154541
3324,50,3.5544052124023438
3928,51,3.6255781650543213
3792,52,3.694472312927246
3744,53,3.76399827003479
3444,54,3.8439600467681885
3444,55,3.9184021949768066
4108,56,3.9958951473236084
3418,57,4.069143056869507
3804,58,4.1367881298065186
3148,59,4.2041542530059814
3738,60,4.272877216339111
3402,61,4.344789028167725
3666,62,4.4204840660095215
3628,63,4.500447034835815
3756,64,4.580901145935059
3658,65,4.660114288330078
3548,66,4.738357067108154
4204,67,4.8189921379089355
3424,68,4.898917198181152
3534,69,4.9786601066589355
4082,70,5.057769298553467
3738,71,5.1343700885772705
3178,72,5.2057881355285645
3700,73,5.278269290924072
4294,74,5.375274181365967
3894,75,5.452771186828613
3460,76,5.53167724609375
3602,77,5.61068320274353
3654,78,5.691700220108032
3664,79,5.771142244338989
3202,80,5.849475145339966
3742,81,5.928208112716675
3960,82,6.004085063934326
3676,83,6.080381155014038
4126,84,6.156259059906006
3928,85,6.238038063049316
3628,86,6.314650297164917
3350,87,6.391624212265015
3896,88,6.468621253967285
4076,89,6.544779062271118
3696,90,6.621065378189087
3784,91,6.697697162628174
3998,92,6.770599365234375
3348,93,6.845084190368652
3536,94,6.918431997299194
3296,95,6.988579273223877
3714,96,7.057898998260498
3332,97,7.132388114929199
3624,98,7.208873987197876
4060,99,7.2808849811553955
3542,100,7.362303972244263
3868,101,7.445277214050293
3874,102,7.5217931270599365
3590,103,7.598832130432129
3730,104,7.674360036849976
3864,105,7.749672174453735
3946,106,7.826968193054199
3716,107,7.903937101364136
3968,108,7.9790263175964355
3436,109,8.052696228027344
3776,110,8.123211145401001
3802,111,8.192811012268066
3602,112,8.263935089111328
3658,113,8.341293096542358
3652,114,8.418116092681885
3416,115,8.497785091400146
3356,116,8.573649168014526
3856,117,8.649596214294434
3574,118,8.723995208740234
3450,119,8.79488205909729
3890,120,8.865531206130981
3692,121,8.934698104858398
3880,122,9.006677150726318
3562,123,9.074502229690552
3496,124,9.14501404762268
3486,125,9.226584196090698
3744,126,9.29901909828186
4024,127,9.372788190841675
3896,128,9.445456266403198
3450,129,9.521870136260986
3682,130,9.60131025314331
3634,131,9.675633192062378
3104,132,9.743298053741455
3936,133,9.814146041870117
3560,134,9.890560150146484
3772,135,9.965543270111084
4256,136,10.039875268936157
3342,137,10.134135007858276
3448,138,10.21315622329712
4156,139,10.295742988586426
3932,140,10.37415337562561
4176,141,10.446227312088013
3672,142,10.520044088363647
3964,143,10.597707033157349
3652,144,10.678080081939697
3720,145,10.755565166473389
4018,146,10.832706212997437
3588,147,10.909340143203735
3864,148,10.99234938621521
3616,149,11.073883295059204
3254,150,11.151831150054932
4270,151,11.230289220809937
3736,152,11.309577226638794
3830,153,11.389416217803955
3420,154,11.467764377593994
3778,155,11.545233249664307
3598,156,11.623643159866333
4288,157,11.70133924484253
3762,158,11.776970148086548
4106,159,11.850144147872925
3766,160,11.927984237670898
3630,161,11.997632026672363
3614,162,12.066388130187988
3780,163,12.145561218261719
3810,164,12.214921951293945
3788,165,12.282450199127197
3606,166,12.356008291244507
3914,167,12.425069093704224
3576,168,12.502474069595337
3818,169,12.577778339385986
3732,170,12.651077270507812
3842,171,12.718281984329224
3530,172,12.78928828239441
3550,173,12.862208127975464
4038,174,12.934710025787354
3536,175,13.016244411468506
3352,176,13.0960111618042
3632,177,13.173184156417847
3558,178,13.24855923652649
3638,179,13.316642045974731
3402,180,13.388038158416748
3458,181,13.465631008148193
3478,182,13.545143127441406
3968,183,13.624572277069092
3516,184,13.704248189926147
3396,185,13.783200025558472
3460,186,13.860835075378418
3804,187,13.935494184494019
3750,188,14.01150631904602
3708,189,14.089805126190186
4118,190,14.167614221572876
3862,191,14.241551160812378
3724,192,14.31629729270935
3494,193,14.38973331451416
3850,194,14.469161987304688
3636,195,14.551767110824585
3922,196,14.632887125015259
3684,197,14.710361242294312
3128,198,14.78556227684021
3794,199,14.864511966705322
3882,200,14.945200204849243
