r,l,t
1330,1,0.043579816818237305
1420,2,0.08497285842895508
1222,3,0.12147688865661621
1436,4,0.1630878448486328
1256,5,0.19716787338256836
3550,6,0.2752408981323242
4244,7,0.35269880294799805
3626,8,0.4296226501464844
3120,9,0.5110988616943359
4090,10,0.5888767242431641
2874,11,0.6605010032653809
3722,12,0.7367010116577148
3938,13,0.8138508796691895
3434,14,0.8918368816375732
4176,15,0.9722378253936768
3360,16,1.0531117916107178
3482,17,1.1252648830413818
4148,18,1.2000048160552979
3496,19,1.2785758972167969
3578,20,1.3554859161376953
3678,21,1.4306650161743164
3236,22,1.5090928077697754
3724,23,1.5876059532165527
3464,24,1.666008710861206
3366,25,1.7453758716583252
3728,26,1.8190369606018066
4018,27,1.8909950256347656
3548,28,1.9676048755645752
3130,29,2.047639846801758
3538,30,2.1251718997955322
3932,31,2.205526828765869
3386,32,2.2790467739105225
3724,33,2.3573808670043945
3952,34,2.436231851577759
3702,35,2.509957790374756
3574,36,2.586282968521118
3616,37,2.6659698486328125
3904,38,2.7423439025878906
4066,39,2.8180649280548096
3384,40,2.8994970321655273
3292,41,2.980116844177246
3636,42,3.0727057456970215
3694,43,3.148594856262207
3848,44,3.2166268825531006
3182,45,3.2852370738983154
3746,46,3.365102767944336
3738,47,3.439208984375
3620,48,3.5114219188690186
3826,49,3.5859217643737793
3658,50,3.6597776412963867
3418,51,3.7286148071289062
3454,52,3.804130792617798
4108,53,3.881664991378784
3720,54,3.9614417552948
4214,55,4.043233871459961
3122,56,4.116605997085571
3520,57,4.189909934997559
3864,58,4.269043922424316
3872,59,4.344105958938599
3492,60,4.415199041366577
3956,61,4.493994951248169
3598,62,4.570831775665283
3064,63,4.647065877914429
4052,64,4.722028732299805
3670,65,4.797672986984253
4002,66,4.872509956359863
3802,67,4.951931953430176
3284,68,5.025148868560791
3570,69,5.106204986572266
3448,70,5.187341690063477
3470,71,5.268404006958008
3724,72,5.353413820266724
3670,73,5.434924840927124
3992,74,5.510848045349121
3554,75,5.59217095375061
4050,76,5.676084041595459
4082,77,5.755007028579712
3338,78,5.847469806671143
3432,79,5.923030853271484
4206,80,5.99811577796936
3892,81,6.083154916763306
4012,82,6.166791915893555
3586,83,6.2472898960113525
3790,84,6.322243690490723
3684,85,6.394132852554321
3950,86,6.469854831695557
3652,87,6.553031921386719
3636,88,6.632332801818848
3876,89,6.716264009475708
3678,90,6.792987823486328
3676,91,6.873908996582031
3626,92,6.9453959465026855
3614,93,7.018579006195068
3758,94,7.0952699184417725
3140,95,7.171540975570679
3650,96,7.2528767585754395
3568,97,7.333110809326172
3228,98,7.409003734588623
3806,99,7.486311912536621
3976,100,7.56085205078125
3298,101,7.63829779624939
3484,102,7.718432903289795
3398,103,7.798489809036255
3654,104,7.878975868225098
3772,105,7.9560887813568115
3650,106,8.03344988822937
4202,107,8.107687950134277
3634,108,8.187426805496216
3998,109,8.26695990562439
3454,110,8.346887826919556
3812,111,8.426437854766846
3348,112,8.50623893737793
3652,113,8.584730863571167
3492,114,8.661667823791504
3834,115,8.741697788238525
3604,116,8.819318771362305
3862,117,8.89488172531128
3262,118,8.98168683052063
3520,119,9.06284785270691
3766,120,9.142359733581543
4230,121,9.220074892044067
3204,122,9.295348882675171
3708,123,9.369919061660767
3294,124,9.451201677322388
3360,125,9.531219959259033
3752,126,9.610163927078247
4068,127,9.689016819000244
3630,128,9.767321825027466
3392,129,9.850129842758179
3950,130,9.929544925689697
4000,131,10.008075952529907
3618,132,10.084235906600952
4534,133,10.160691976547241
3264,134,10.231108903884888
3628,135,10.300569772720337
3546,136,10.369855880737305
3398,137,10.441508769989014
3648,138,10.515413999557495
3630,139,10.588073968887329
4228,140,10.664604902267456
3310,141,10.740588665008545
4262,142,10.811333894729614
3792,143,10.881832838058472
3946,144,10.955354928970337
3960,145,11.02645993232727
3648,146,11.103898763656616
3278,147,11.176504850387573
3840,148,11.248119831085205
3100,149,11.324312686920166
4100,150,11.397825717926025
3742,151,11.46832799911499
3684,152,11.543927669525146
4108,153,11.615019798278809
3830,154,11.685616970062256
3392,155,11.756887674331665
3520,156,11.827625036239624
3424,157,11.900571823120117
3834,158,11.969199895858765
3562,159,12.044719934463501
3310,160,12.118348836898804
3452,161,12.189628839492798
3600,162,12.261377811431885
3948,163,12.333938837051392
3996,164,12.406182765960693
3572,165,12.480778932571411
3950,166,12.548386812210083
3530,167,12.627201080322266
3652,168,12.709630966186523
3432,169,12.780305862426758
2968,170,12.851846933364868
3572,171,12.926273822784424
3806,172,12.999073028564453
3106,173,13.078635692596436
3590,174,13.159121990203857
3982,175,13.231704711914062
3922,176,13.305637836456299
3328,177,13.388691902160645
3460,178,13.468729734420776
3580,179,13.545429944992065
3710,180,13.622301816940308
3660,181,13.698957681655884
4064,182,13.775677919387817
3676,183,13.851916790008545
3518,184,13.92497992515564
3524,185,14.000176906585693
3276,186,14.077201843261719
3480,187,14.15144395828247
3536,188,14.22629189491272
3134,189,14.297450065612793
3866,190,14.368964910507202
4078,191,14.44101095199585
3260,192,14.521865844726562
3994,193,14.59623384475708
3598,194,14.668363094329834
3930,195,14.73869800567627
4044,196,14.809095859527588
3414,197,14.88052773475647
3442,198,14.959982872009277
4070,199,15.039860010147095
3396,200,15.119606018066406
