r,l,t
1318,1,0.05928206443786621
1254,2,0.09936189651489258
1240,3,0.13856887817382812
1338,4,0.17609906196594238
1238,5,0.21221399307250977
2032,6,0.2853097915649414
2204,7,0.359464168548584
1968,8,0.4265730381011963
2466,9,0.49957799911499023
2042,10,0.5767269134521484
1818,11,0.6583950519561768
2054,12,0.7382912635803223
2088,13,0.8188230991363525
2608,14,0.8915450572967529
2176,15,0.9630289077758789
2202,16,1.0404689311981201
2062,17,1.1067650318145752
2210,18,1.1835649013519287
2320,19,1.2710309028625488
2086,20,1.3378510475158691
2002,21,1.4068100452423096
2336,22,1.4787249565124512
2076,23,1.5530219078063965
2470,24,1.6209771633148193
1944,25,1.6987318992614746
2168,26,1.776705026626587
2006,27,1.8500001430511475
2230,28,1.9246001243591309
2252,29,2.0056960582733154
2152,30,2.085463047027588
2018,31,2.163625955581665
2060,32,2.23941707611084
2288,33,2.3229880332946777
2062,34,2.402005910873413
2034,35,2.471169948577881
2216,36,2.542307138442993
1920,37,2.6164419651031494
2042,38,2.684319019317627
2222,39,2.76181697845459
2364,40,2.8403451442718506
1936,41,2.9137871265411377
2104,42,2.9892399311065674
2194,43,3.0630929470062256
1968,44,3.129619836807251
2288,45,3.19891095161438
2022,46,3.277782917022705
1998,47,3.350477933883667
1938,48,3.430417060852051
2190,49,3.5109500885009766
2400,50,3.5875020027160645
1908,51,3.670788049697876
2194,52,3.7461650371551514
2264,53,3.8168649673461914
2034,54,3.8978381156921387
2386,55,3.9748101234436035
2132,56,4.054423093795776
2358,57,4.129848957061768
2280,58,4.203796863555908
2302,59,4.278947114944458
2094,60,4.354089975357056
2060,61,4.430545091629028
2290,62,4.4999918937683105
2164,63,4.571122169494629
2216,64,4.645549058914185
2458,65,4.712520122528076
2184,66,4.789636135101318
2480,67,4.872545957565308
1814,68,4.9548749923706055
1796,69,5.039581060409546
1846,70,5.118609189987183
2200,71,5.195466995239258
2352,72,5.272917032241821
2520,73,5.349245071411133
2266,74,5.419827222824097
1952,75,5.494716167449951
2156,76,5.567891836166382
2250,77,5.638963222503662
2274,78,5.715692043304443
2280,79,5.794695138931274
2202,80,5.867156982421875
2114,81,5.941602945327759
2182,82,6.0149149894714355
1868,83,6.084068059921265
2054,84,6.157342910766602
2250,85,6.231513023376465
1826,86,6.298578977584839
1894,87,6.368511915206909
1962,88,6.447561979293823
1942,89,6.52108907699585
2200,90,6.594645977020264
2278,91,6.672749042510986
2196,92,6.752268075942993
1976,93,6.831237077713013
1840,94,6.912819147109985
2370,95,6.989032030105591
2182,96,7.063793182373047
2032,97,7.139756917953491
2232,98,7.215394973754883
2462,99,7.285613059997559
2254,100,7.361741065979004
2206,101,7.437873125076294
1978,102,7.5157411098480225
2256,103,7.594492197036743
2438,104,7.669440031051636
2194,105,7.742460012435913
2302,106,7.819751024246216
1914,107,7.893229961395264
1922,108,7.963413953781128
1986,109,8.039604902267456
2234,110,8.12208604812622
2034,111,8.20328402519226
2240,112,8.281169176101685
2430,113,8.354221105575562
2042,114,8.42586898803711
2314,115,8.505697011947632
2510,116,8.57595419883728
2312,117,8.645015954971313
2058,118,8.711335182189941
2378,119,8.790852069854736
2980,120,8.869001865386963
3082,121,8.946944952011108
2814,122,9.025579929351807
2988,123,9.104352951049805
3026,124,9.182789087295532
2890,125,9.258845090866089
3136,126,9.326802968978882
3112,127,9.398982048034668
2978,128,9.482789993286133
2806,129,9.560371160507202
2916,130,9.637759923934937
2900,131,9.716325044631958
3124,132,9.79257583618164
2880,133,9.86880612373352
3142,134,9.947955846786499
3074,135,10.026751041412354
3112,136,10.103404998779297
3294,137,10.183716058731079
2948,138,10.259948968887329
2862,139,10.33417010307312
2388,140,10.413568019866943
3078,141,10.49652910232544
3206,142,10.57067584991455
3032,143,10.64521312713623
3280,144,10.724877119064331
3060,145,10.801714181900024
3460,146,10.879985094070435
2810,147,10.956522941589355
3334,148,11.031255960464478
2952,149,11.108810901641846
2870,150,11.186530113220215
3076,151,11.25833797454834
2862,152,11.33447813987732
2920,153,11.411827087402344
2744,154,11.487912893295288
3162,155,11.567484140396118
2670,156,11.643952131271362
2966,157,11.718332052230835
3576,158,11.795752048492432
3008,159,11.86676812171936
2906,160,11.933787107467651
3392,161,12.003589153289795
2556,162,12.081512212753296
2848,163,12.160301923751831
2972,164,12.237080097198486
2926,165,12.312538146972656
2616,166,12.384759902954102
2468,167,12.45949101448059
3038,168,12.538058996200562
3076,169,12.610470056533813
3130,170,12.685986042022705
3192,171,12.763857126235962
3070,172,12.840636014938354
2570,173,12.922130107879639
3174,174,13.00101900100708
2992,175,13.078808069229126
2772,176,13.15942120552063
3014,177,13.239425897598267
3256,178,13.319222927093506
3014,179,13.395539999008179
3136,180,13.474907159805298
2992,181,13.547161102294922
2940,182,13.621831178665161
3242,183,13.698741912841797
3122,184,13.770848035812378
3368,185,13.84977102279663
2696,186,13.926845788955688
2846,187,14.002555131912231
3200,188,14.079236030578613
2936,189,14.157966136932373
3376,190,14.232756853103638
3008,191,14.31093692779541
3000,192,14.38003921508789
2986,193,14.4478120803833
3240,194,14.522322177886963
3298,195,14.599932193756104
3020,196,14.677359104156494
3358,197,14.757004022598267
2816,198,14.834218978881836
3186,199,14.913021802902222
3202,200,14.988389015197754
