r,l,t
1454,999,0.05619001388549805
1686,999,0.09605813026428223
1998,999,0.1351611614227295
1684,999,0.17867016792297363
1716,999,0.23948001861572266
1782,999,0.2825479507446289
1920,999,0.3318030834197998
2094,999,0.38115620613098145
2122,999,0.43358707427978516
1550,999,0.4867210388183594
1848,999,0.5462160110473633
1862,999,0.600377082824707
1486,999,0.6469459533691406
1756,999,0.6887679100036621
2044,999,0.7317612171173096
1994,999,0.7751390933990479
1772,999,0.8142561912536621
1982,999,0.849574089050293
1620,999,0.8878579139709473
1562,999,0.9295101165771484
1980,999,0.9777350425720215
1958,999,1.0315470695495605
1684,999,1.0806100368499756
1684,999,1.1215500831604004
1754,999,1.1625709533691406
1782,999,1.2083561420440674
1680,999,1.260519027709961
1824,999,1.3082330226898193
1674,999,1.3469829559326172
1882,999,1.3853240013122559
2196,999,1.425436019897461
1980,999,1.4746630191802979
1804,999,1.5222740173339844
1804,999,1.5635130405426025
1986,999,1.6005659103393555
1896,999,1.6402621269226074
1668,999,1.6920030117034912
1926,999,1.7312641143798828
1806,999,1.773414134979248
2084,999,1.8162469863891602
1680,999,1.8596811294555664
1562,999,1.9091730117797852
1980,999,1.9585049152374268
2244,999,2.001836061477661
1718,999,2.04420804977417
1878,999,2.0918431282043457
1882,999,2.1416828632354736
1892,999,2.1826181411743164
2058,999,2.222262144088745
1786,999,2.262375831604004
1712,999,2.304882049560547
1978,999,2.351590156555176
1962,999,2.401092052459717
1890,999,2.449019193649292
1630,999,2.4853639602661133
1856,999,2.5263512134552
1804,999,2.577453136444092
1826,999,2.625152111053467
1760,999,2.6649529933929443
2138,999,2.7077949047088623
1924,999,2.7535390853881836
1890,999,2.8016200065612793
1864,999,2.8536860942840576
1874,999,2.9033191204071045
1880,999,2.9459409713745117
1742,999,2.9962401390075684
1840,999,3.0466561317443848
1740,999,3.0941500663757324
2254,999,3.133523941040039
1916,999,3.1735448837280273
1910,999,3.2151238918304443
1588,999,3.2643370628356934
1688,999,3.3185601234436035
1876,999,3.3690810203552246
1798,999,3.409105062484741
1560,999,3.4558498859405518
1618,999,3.505444049835205
1656,999,3.5529839992523193
1670,999,3.5954060554504395
1724,999,3.640047073364258
1730,999,3.6825289726257324
1788,999,3.731781244277954
1712,999,3.7824811935424805
1766,999,3.829519033432007
1846,999,3.8713929653167725
1892,999,3.915184259414673
1792,999,3.9634621143341064
1904,999,4.006617069244385
1522,999,4.048753261566162
1956,999,4.091245174407959
2010,999,4.130314111709595
1728,999,4.170684099197388
1804,999,4.2208709716796875
1776,999,4.2621910572052
2010,999,4.303196907043457
1950,999,4.341478109359741
1838,999,4.381269931793213
1908,999,4.424055099487305
1984,999,4.466264009475708
2004,999,4.508849143981934
2226,999,4.553421974182129
1688,999,4.600021123886108
1648,999,4.647945880889893
1974,999,4.694429874420166
2098,999,4.7355499267578125
1984,999,4.775798082351685
1900,999,4.81988000869751
1768,999,4.86984920501709
1918,999,4.9102630615234375
1712,999,4.947190046310425
1750,999,4.983242034912109
1762,999,5.0191240310668945
1818,999,5.065009832382202
1768,999,5.113211154937744
1714,999,5.162063121795654
2020,999,5.201877117156982
1912,999,5.24219012260437
1898,999,5.279815912246704
1908,999,5.318523168563843
1804,999,5.368966817855835
1562,999,5.416729211807251
1896,999,5.45887303352356
1772,999,5.5023109912872314
1718,999,5.547616004943848
1950,999,5.597923040390015
1864,999,5.64808201789856
1684,999,5.690258026123047
1894,999,5.731800079345703
1950,999,5.778038024902344
1772,999,5.827358961105347
2166,999,5.876092910766602
1812,999,5.9175732135772705
1960,999,5.9587180614471436
1926,999,6.004328966140747
1916,999,6.05315089225769
1760,999,6.096267938613892
1822,999,6.138704061508179
1688,999,6.179930210113525
1936,999,6.2243971824646
1882,999,6.273913145065308
1886,999,6.314448118209839
1854,999,6.35581111907959
1906,999,6.39664101600647
1816,999,6.4413981437683105
1734,999,6.484591007232666
1940,999,6.526605129241943
2000,999,6.568133115768433
1588,999,6.609421014785767
1748,999,6.654568910598755
1918,999,6.704923152923584
1794,999,6.744758129119873
1976,999,6.78352689743042
2054,999,6.821584224700928
1548,999,6.862054824829102
1870,999,6.9118571281433105
1900,999,6.953671932220459
1676,999,6.997848033905029
1876,999,7.038293123245239
1686,999,7.0809478759765625
1754,999,7.130488157272339
2034,999,7.178497076034546
2028,999,7.218867063522339
1868,999,7.262034893035889
2126,999,7.310837030410767
1714,999,7.359839916229248
1548,999,7.404097080230713
1662,999,7.448031902313232
1676,999,7.488847017288208
1786,999,7.529993057250977
1608,999,7.579607963562012
2030,999,7.624008893966675
1938,999,7.6632890701293945
1764,999,7.702878952026367
1826,999,7.744741201400757
1882,999,7.7949090003967285
1924,999,7.837355136871338
1684,999,7.877932071685791
1764,999,7.918386936187744
1776,999,7.960405111312866
1956,999,8.010250091552734
2104,999,8.051296949386597
1630,999,8.092668056488037
1948,999,8.133804082870483
1736,999,8.176237106323242
2064,999,8.223903894424438
1596,999,8.269984006881714
1740,999,8.308449029922485
1926,999,8.361759901046753
1780,999,8.408682107925415
1564,999,8.459312200546265
1754,999,8.502511024475098
1920,999,8.544185161590576
1884,999,8.583664178848267
1954,999,8.627037048339844
1854,999,8.673988103866577
1462,999,8.725318908691406
2092,999,8.76566195487976
2032,999,8.807512998580933
1780,999,8.854948043823242
1744,999,8.904813051223755
