r,l,t
1724,999,0.0507960319519043
1728,999,0.09252595901489258
1960,999,0.13511109352111816
2028,999,0.17316818237304688
1748,999,0.21228909492492676
1956,999,0.24915099143981934
1666,999,0.2948610782623291
1944,999,0.3454771041870117
1864,999,0.38292598724365234
1626,999,0.4255101680755615
1760,999,0.4726271629333496
1926,999,0.5159010887145996
2036,999,0.5683870315551758
1704,999,0.6114320755004883
1884,999,0.6544690132141113
2182,999,0.6968848705291748
1270,999,0.7435669898986816
2092,999,0.7932660579681396
1916,999,0.8312439918518066
2266,999,0.871258020401001
1970,999,0.9154300689697266
1894,999,0.9614720344543457
2032,999,1.0122101306915283
1874,999,1.0549490451812744
1870,999,1.0974960327148438
1748,999,1.1414251327514648
1884,999,1.1884148120880127
1980,999,1.2400610446929932
2170,999,1.2881901264190674
1824,999,1.3283050060272217
1978,999,1.366089105606079
2028,999,1.4097089767456055
1778,999,1.4602890014648438
1902,999,1.5062150955200195
1724,999,1.5482380390167236
2078,999,1.5931291580200195
1710,999,1.638127088546753
2138,999,1.6887750625610352
1950,999,1.733078956604004
1688,999,1.7762279510498047
1656,999,1.8190250396728516
1968,999,1.8650500774383545
2032,999,1.9152390956878662
2196,999,1.9649388790130615
2066,999,2.0052571296691895
1906,999,2.0455939769744873
1760,999,2.0890321731567383
1910,999,2.13742995262146
1708,999,2.1873350143432617
1974,999,2.2361161708831787
1800,999,2.284639835357666
1966,999,2.332930088043213
1852,999,2.3809351921081543
1696,999,2.432663917541504
1676,999,2.4755501747131348
1886,999,2.519551992416382
1650,999,2.56282901763916
2082,999,2.609951972961426
2140,999,2.661033868789673
1782,999,2.711651086807251
1866,999,2.7533841133117676
2130,999,2.7982990741729736
1698,999,2.8473262786865234
1692,999,2.8979880809783936
1816,999,2.9407050609588623
1840,999,2.983020067214966
1486,999,3.025745153427124
1764,999,3.0702381134033203
1980,999,3.1219820976257324
1494,999,3.1650190353393555
2096,999,3.212013006210327
1910,999,3.2554311752319336
1762,999,3.3036699295043945
2058,999,3.355638027191162
1950,999,3.3988399505615234
2092,999,3.4404451847076416
1740,999,3.484433174133301
1846,999,3.5312790870666504
1568,999,3.5841660499572754
1818,999,3.627403974533081
2008,999,3.670073986053467
1516,999,3.7134451866149902
1702,999,3.7609288692474365
1724,999,3.8123061656951904
1530,999,3.854691982269287
1758,999,3.891716957092285
1768,999,3.9288711547851562
1698,999,3.971503973007202
1984,999,4.027786016464233
1668,999,4.076113224029541
1996,999,4.119220972061157
1912,999,4.162105083465576
1880,999,4.209595203399658
1828,999,4.258931875228882
1754,999,4.300180196762085
1822,999,4.343436002731323
1906,999,4.387952089309692
1850,999,4.4343039989471436
1602,999,4.484545946121216
1764,999,4.5338521003723145
2508,999,4.583805084228516
1868,999,4.624980211257935
2034,999,4.671748161315918
1768,999,4.72049617767334
1718,999,4.76280403137207
1464,999,4.802510976791382
1524,999,4.841207981109619
1742,999,4.879401922225952
2254,999,4.936752080917358
1928,999,4.977911949157715
2074,999,5.016005039215088
1822,999,5.0538129806518555
1996,999,5.102159023284912
2078,999,5.152888059616089
1868,999,5.201949119567871
1810,999,5.245423078536987
1836,999,5.287562847137451
2152,999,5.3332200050354
2010,999,5.3814780712127686
1622,999,5.4221110343933105
1730,999,5.460546016693115
1864,999,5.499587059020996
1896,999,5.53754997253418
1636,999,5.5863800048828125
1982,999,5.6289660930633545
1654,999,5.667091131210327
1832,999,5.709788084030151
2136,999,5.753073215484619
1926,999,5.791202068328857
1806,999,5.83949613571167
2090,999,5.889853239059448
1978,999,5.934935092926025
1940,999,5.978628158569336
1744,999,6.022345066070557
1956,999,6.070410966873169
1942,999,6.1144139766693115
1806,999,6.156925201416016
2308,999,6.19954514503479
1682,999,6.241614103317261
1618,999,6.286089897155762
1758,999,6.3369529247283936
1958,999,6.382793188095093
1792,999,6.4201130867004395
1956,999,6.459814071655273
1950,999,6.50727391242981
1968,999,6.558922052383423
1918,999,6.6096320152282715
2116,999,6.657595157623291
1804,999,6.700408935546875
1722,999,6.74729585647583
1900,999,6.795608043670654
1530,999,6.836071014404297
1740,999,6.873388051986694
1972,999,6.912316083908081
2084,999,6.960035085678101
2154,999,7.011759996414185
1956,999,7.0623650550842285
1750,999,7.104732036590576
2200,999,7.1466569900512695
1752,999,7.193742990493774
1732,999,7.244690179824829
1900,999,7.287518262863159
1840,999,7.329920053482056
1986,999,7.3708579540252686
1796,999,7.410995244979858
1638,999,7.459578990936279
2010,999,7.502871036529541
1608,999,7.546407222747803
1970,999,7.5899739265441895
1780,999,7.635753870010376
1822,999,7.686367988586426
2060,999,7.728888988494873
1800,999,7.779207229614258
1430,999,7.821614027023315
1902,999,7.868618965148926
1530,999,7.920105934143066
1942,999,7.963586091995239
2300,999,8.006242990493774
2122,999,8.049324035644531
1764,999,8.091295003890991
1848,999,8.138187885284424
2112,999,8.190727233886719
1656,999,8.244379997253418
1676,999,8.294820070266724
1712,999,8.338877201080322
1870,999,8.388149976730347
1590,999,8.438377857208252
2000,999,8.483263969421387
1716,999,8.527312994003296
1780,999,8.569236993789673
2172,999,8.61538290977478
1930,999,8.665454149246216
1764,999,8.702903985977173
1962,999,8.742469072341919
1858,999,8.786505937576294
1830,999,8.834757089614868
1562,999,8.884995937347412
2032,999,8.935044050216675
1732,999,8.984613180160522
1828,999,9.024486064910889
