r,l,t
1504,999,0.04030299186706543
1534,999,0.0817410945892334
1966,999,0.11994481086730957
1446,999,0.15586495399475098
2140,999,0.19147205352783203
1656,999,0.24107789993286133
1984,999,0.29165196418762207
1896,999,0.33747410774230957
1774,999,0.3886539936065674
1874,999,0.4275810718536377
1942,999,0.47165799140930176
1712,999,0.5205569267272949
1662,999,0.5712628364562988
1950,999,0.6192419528961182
1946,999,0.6634171009063721
1710,999,0.7093832492828369
1652,999,0.7597739696502686
1984,999,0.7964780330657959
1768,999,0.8347718715667725
1798,999,0.885998010635376
1768,999,0.9303510189056396
1834,999,0.9795041084289551
2014,999,1.0279650688171387
1762,999,1.074552059173584
1962,999,1.1248250007629395
1946,999,1.1701350212097168
1846,999,1.2214031219482422
1792,999,1.2597980499267578
1788,999,1.299858808517456
2198,999,1.350390911102295
1772,999,1.3976149559020996
1844,999,1.4359889030456543
1924,999,1.4880170822143555
1794,999,1.536060094833374
1984,999,1.5790350437164307
1984,999,1.6246190071105957
2246,999,1.6768519878387451
1792,999,1.726870059967041
1858,999,1.7631239891052246
1766,999,1.8003239631652832
1792,999,1.8505799770355225
1582,999,1.8903470039367676
1690,999,1.9428839683532715
1732,999,1.984978199005127
1780,999,2.034153938293457
1762,999,2.0947020053863525
1878,999,2.1355950832366943
2162,999,2.1820220947265625
1850,999,2.2328739166259766
1998,999,2.280569076538086
1984,999,2.3308420181274414
1690,999,2.381640911102295
1976,999,2.4277429580688477
1786,999,2.4775731563568115
2004,999,2.518275022506714
2018,999,2.5644731521606445
1658,999,2.61240291595459
1604,999,2.6632139682769775
1820,999,2.71528697013855
2206,999,2.7639050483703613
1866,999,2.805384874343872
2020,999,2.8527770042419434
2174,999,2.903320074081421
1676,999,2.9549999237060547
1984,999,2.9966530799865723
1898,999,3.0389859676361084
1850,999,3.086477041244507
1838,999,3.13773512840271
1984,999,3.1867308616638184
1794,999,3.237257957458496
1650,999,3.2833750247955322
1834,999,3.328629970550537
1674,999,3.3801169395446777
2200,999,3.4274070262908936
1864,999,3.4795989990234375
1694,999,3.5203189849853516
1814,999,3.574002981185913
1752,999,3.617090940475464
1472,999,3.6632161140441895
2062,999,3.712400197982788
1816,999,3.7606170177459717
1870,999,3.81113600730896
1776,999,3.860419988632202
1796,999,3.908198118209839
1830,999,3.956454038619995
2002,999,4.004887104034424
1894,999,4.051321983337402
1792,999,4.096736907958984
1898,999,4.144103050231934
1574,999,4.188704967498779
1854,999,4.236018896102905
1844,999,4.279978036880493
1896,999,4.325418949127197
1918,999,4.374130964279175
1744,999,4.424998044967651
1916,999,4.476807117462158
1824,999,4.520007133483887
1848,999,4.56902813911438
1672,999,4.617829084396362
1710,999,4.668796062469482
2210,999,4.7212889194488525
2160,999,4.761292934417725
2080,999,4.807123899459839
1812,999,4.856329917907715
1978,999,4.90371298789978
1744,999,4.951175212860107
1872,999,4.993727922439575
1964,999,5.039482116699219
2172,999,5.091115951538086
1718,999,5.141414165496826
1990,999,5.193068981170654
1882,999,5.243725061416626
1834,999,5.292557954788208
1754,999,5.332763195037842
1686,999,5.37277889251709
1930,999,5.418370962142944
2110,999,5.462717056274414
1826,999,5.51195216178894
2028,999,5.553094148635864
1802,999,5.593919992446899
1890,999,5.63864803314209
1726,999,5.683943033218384
1756,999,5.734087228775024
2192,999,5.782788038253784
2012,999,5.825010061264038
1722,999,5.870851039886475
1770,999,5.921050071716309
1794,999,5.970006942749023
2240,999,6.018553018569946
1790,999,6.065392017364502
1982,999,6.114215135574341
2094,999,6.161804914474487
2052,999,6.208128929138184
2016,999,6.246715068817139
1662,999,6.2864601612091064
1736,999,6.328733921051025
1644,999,6.378114938735962
1688,999,6.4291911125183105
1622,999,6.478841066360474
1690,999,6.524985074996948
1728,999,6.5726799964904785
1740,999,6.62306809425354
1986,999,6.671380996704102
1688,999,6.721817970275879
1754,999,6.768346071243286
1592,999,6.816371917724609
1808,999,6.864040851593018
1794,999,6.909776210784912
1880,999,6.9568750858306885
1500,999,7.006062984466553
1730,999,7.070180177688599
1928,999,7.117769956588745
1916,999,7.167227029800415
1962,999,7.2143120765686035
1950,999,7.25416898727417
2038,999,7.298813104629517
1682,999,7.348206043243408
2204,999,7.396528005599976
1798,999,7.44585108757019
1848,999,7.494626998901367
2032,999,7.5415940284729
1794,999,7.589187145233154
1560,999,7.6260950565338135
2044,999,7.667534112930298
1780,999,7.71477198600769
2028,999,7.753303050994873
1744,999,7.800859212875366
1566,999,7.849281072616577
2408,999,7.892648935317993
2146,999,7.931652069091797
1904,999,7.978928089141846
1890,999,8.026161193847656
1972,999,8.071900129318237
2194,999,8.116489887237549
1828,999,8.164566040039062
1532,999,8.20217490196228
1684,999,8.24149203300476
1782,999,8.289917230606079
2384,999,8.32829213142395
1680,999,8.369194984436035
1632,999,8.418459177017212
2088,999,8.467880964279175
1836,999,8.516577005386353
1948,999,8.555031061172485
1694,999,8.598599195480347
1788,999,8.647516012191772
2170,999,8.696495056152344
1964,999,8.745700120925903
1798,999,8.786062955856323
1892,999,8.829399108886719
1790,999,8.87430715560913
1764,999,8.91019582748413
1706,999,8.945831060409546
1766,999,8.993183851242065
1886,999,9.042439937591553
1720,999,9.089247941970825
1974,999,9.132951974868774
2188,999,9.175740242004395
1950,999,9.211735963821411
1950,999,9.248029232025146
