r,l,t
-51,1,0.0035979747772216797
-51,2,0.007179975509643555
-51,3,0.012662887573242188
-51,4,0.01689291000366211
63.0,5,0.019914865493774414
93.0,6,0.028725862503051758
95.0,7,0.03646278381347656
95.0,8,0.044203996658325195
95.0,9,0.050518035888671875
95.0,10,0.05658292770385742
95.0,11,0.06354498863220215
95.0,12,0.06928086280822754
95.0,13,0.07387375831604004
95.0,14,0.07920575141906738
95.0,15,0.08398890495300293
95.0,16,0.08824801445007324
95.0,17,0.09186291694641113
95.0,18,0.09660696983337402
95.0,19,0.10161590576171875
95.0,20,0.10550594329833984
95.0,21,0.10953068733215332
95.0,22,0.11342000961303711
95.0,23,0.11748600006103516
95.0,24,0.12129688262939453
95.0,25,0.12538599967956543
95.0,26,0.12898778915405273
95.0,27,0.13291692733764648
95.0,28,0.1369006633758545
95.0,29,0.14074993133544922
95.0,30,0.14454984664916992
95.0,31,0.14837884902954102
95.0,32,0.15203189849853516
95.0,33,0.15615200996398926
95.0,34,0.1600949764251709
95.0,35,0.16376590728759766
95.0,36,0.16762685775756836
95.0,37,0.1711900234222412
95.0,38,0.17485785484313965
95.0,39,0.17893385887145996
95.0,40,0.18242883682250977
95.0,41,0.1865549087524414
95.0,42,0.19042587280273438
95.0,43,0.19457101821899414
95.0,44,0.1981797218322754
95.0,45,0.20231389999389648
95.0,46,0.20635390281677246
95.0,47,0.210158109664917
95.0,48,0.2139148712158203
95.0,49,0.2178800106048584
95.0,50,0.22174286842346191
95.0,51,0.22559189796447754
95.0,52,0.22942280769348145
95.0,53,0.23458409309387207
95.0,54,0.23958277702331543
95.0,55,0.24360895156860352
95.0,56,0.24757766723632812
95.0,57,0.2513108253479004
95.0,58,0.25549793243408203
95.0,59,0.2592020034790039
95.0,60,0.26294398307800293
95.0,61,0.2667829990386963
95.0,62,0.27063989639282227
95.0,63,0.2744569778442383
95.0,64,0.2780318260192871
95.0,65,0.28165197372436523
95.0,66,0.28562498092651367
95.0,67,0.2898538112640381
95.0,68,0.29370689392089844
95.0,69,0.29727888107299805
95.0,70,0.3012399673461914
95.0,71,0.30505800247192383
95.0,72,0.3087139129638672
95.0,73,0.31276583671569824
95.0,74,0.3174269199371338
95.0,75,0.3215489387512207
95.0,76,0.32610297203063965
95.0,77,0.32985901832580566
95.0,78,0.33382487297058105
95.0,79,0.33762669563293457
95.0,80,0.3413827419281006
95.0,81,0.34509801864624023
95.0,82,0.3489718437194824
95.0,83,0.35258007049560547
95.0,84,0.3563389778137207
95.0,85,0.36002397537231445
95.0,86,0.36357688903808594
95.0,87,0.3675377368927002
95.0,88,0.3714108467102051
95.0,89,0.3751838207244873
95.0,90,0.3789796829223633
95.0,91,0.38259291648864746
95.0,92,0.38675498962402344
95.0,93,0.3901376724243164
95.0,94,0.39371275901794434
95.0,95,0.39742374420166016
95.0,96,0.40097999572753906
95.0,97,0.4047858715057373
95.0,98,0.40850090980529785
95.0,99,0.4120299816131592
95.0,100,0.41550278663635254
