r,l,t
-51,1,0.005278825759887695
-51,2,0.010591983795166016
74.0,3,0.016022920608520508
-51,4,0.0220639705657959
-51,5,0.0266420841217041
93.0,6,0.03436112403869629
95.0,7,0.04151201248168945
95.0,8,0.04706406593322754
95.0,9,0.05336809158325195
95.0,10,0.059990882873535156
95.0,11,0.06511092185974121
95.0,12,0.0699150562286377
95.0,13,0.07496309280395508
95.0,14,0.07944893836975098
95.0,15,0.08339285850524902
95.0,16,0.08730101585388184
95.0,17,0.09105205535888672
95.0,18,0.09503602981567383
95.0,19,0.09861111640930176
95.0,20,0.10230588912963867
95.0,21,0.10690188407897949
95.0,22,0.11111307144165039
95.0,23,0.11541104316711426
95.0,24,0.11914420127868652
95.0,25,0.12348198890686035
95.0,26,0.12810516357421875
95.0,27,0.13173198699951172
95.0,28,0.13561797142028809
95.0,29,0.13960909843444824
95.0,30,0.14354491233825684
95.0,31,0.14732694625854492
95.0,32,0.15130305290222168
95.0,33,0.15513014793395996
95.0,34,0.15921711921691895
95.0,35,0.1633310317993164
95.0,36,0.16750884056091309
95.0,37,0.17134404182434082
95.0,38,0.17560410499572754
95.0,39,0.1793670654296875
95.0,40,0.18344902992248535
95.0,41,0.18697786331176758
95.0,42,0.1910409927368164
95.0,43,0.19470620155334473
95.0,44,0.1987628936767578
95.0,45,0.20276403427124023
95.0,46,0.20686101913452148
95.0,47,0.21081900596618652
95.0,48,0.21535611152648926
95.0,49,0.2195298671722412
95.0,50,0.22384190559387207
95.0,51,0.2277970314025879
95.0,52,0.23408198356628418
95.0,53,0.23926115036010742
95.0,54,0.24342107772827148
95.0,55,0.2475581169128418
95.0,56,0.25171804428100586
95.0,57,0.25586700439453125
95.0,58,0.25963521003723145
95.0,59,0.26329994201660156
95.0,60,0.26717710494995117
95.0,61,0.2711319923400879
95.0,62,0.27504920959472656
95.0,63,0.27884697914123535
95.0,64,0.2827749252319336
95.0,65,0.2866499423980713
95.0,66,0.2905890941619873
95.0,67,0.2945859432220459
95.0,68,0.29834580421447754
95.0,69,0.30243921279907227
95.0,70,0.30640196800231934
95.0,71,0.3102278709411621
95.0,72,0.31419992446899414
95.0,73,0.3187088966369629
95.0,74,0.3225901126861572
95.0,75,0.3265719413757324
95.0,76,0.33029913902282715
95.0,77,0.33420300483703613
95.0,78,0.33823108673095703
95.0,79,0.3421950340270996
95.0,80,0.34608983993530273
95.0,81,0.34969210624694824
95.0,82,0.3535630702972412
95.0,83,0.3575148582458496
95.0,84,0.3612041473388672
95.0,85,0.36481189727783203
95.0,86,0.3685281276702881
95.0,87,0.37198781967163086
95.0,88,0.3754851818084717
95.0,89,0.3790299892425537
95.0,90,0.38281702995300293
95.0,91,0.38681697845458984
95.0,92,0.3906521797180176
95.0,93,0.39439892768859863
95.0,94,0.3977220058441162
95.0,95,0.401339054107666
95.0,96,0.40464305877685547
95.0,97,0.4081099033355713
95.0,98,0.4116787910461426
95.0,99,0.41562414169311523
95.0,100,0.41980624198913574
