r,l,t
-51,1,0.003930807113647461
-51,2,0.007961750030517578
-51,3,0.016530990600585938
-51,4,0.02122974395751953
-51,5,0.025162935256958008
-51,6,0.06407785415649414
-51,7,0.09243297576904297
84.0,8,0.10257101058959961
95.0,9,0.10630393028259277
95.0,10,0.10979104042053223
95.0,11,0.11353588104248047
95.0,12,0.11805295944213867
95.0,13,0.12165689468383789
95.0,14,0.1252448558807373
95.0,15,0.1290440559387207
95.0,16,0.13312482833862305
95.0,17,0.1369180679321289
95.0,18,0.14038300514221191
95.0,19,0.14393401145935059
95.0,20,0.14763975143432617
95.0,21,0.15185999870300293
95.0,22,0.15528202056884766
95.0,23,0.15893101692199707
95.0,24,0.16244292259216309
95.0,25,0.16668009757995605
95.0,26,0.17086291313171387
95.0,27,0.1741619110107422
95.0,28,0.17776274681091309
95.0,29,0.18176484107971191
95.0,30,0.18575096130371094
95.0,31,0.18918490409851074
95.0,32,0.19257712364196777
95.0,33,0.19603300094604492
95.0,34,0.19931387901306152
95.0,35,0.20314502716064453
95.0,36,0.20692777633666992
95.0,37,0.21067285537719727
95.0,38,0.2140517234802246
95.0,39,0.2173469066619873
95.0,40,0.22057485580444336
95.0,41,0.22377705574035645
95.0,42,0.22695398330688477
95.0,43,0.23060989379882812
95.0,44,0.23523783683776855
95.0,45,0.2397599220275879
95.0,46,0.24574494361877441
95.0,47,0.2508718967437744
95.0,48,0.25478291511535645
95.0,49,0.25853586196899414
95.0,50,0.26221179962158203
95.0,51,0.26593780517578125
95.0,52,0.2697908878326416
95.0,53,0.27457308769226074
95.0,54,0.27849698066711426
95.0,55,0.2823171615600586
95.0,56,0.286099910736084
95.0,57,0.290132999420166
95.0,58,0.294003963470459
95.0,59,0.29811787605285645
95.0,60,0.3021399974822998
95.0,61,0.305919885635376
95.0,62,0.3096749782562256
95.0,63,0.31383299827575684
95.0,64,0.31766295433044434
95.0,65,0.32178211212158203
95.0,66,0.3255927562713623
95.0,67,0.3300647735595703
95.0,68,0.3345668315887451
95.0,69,0.33893299102783203
95.0,70,0.34258484840393066
95.0,71,0.3466618061065674
95.0,72,0.3503386974334717
95.0,73,0.354266881942749
95.0,74,0.3582777976989746
95.0,75,0.3624248504638672
95.0,76,0.3661367893218994
95.0,77,0.370103120803833
95.0,78,0.37399888038635254
95.0,79,0.37845396995544434
95.0,80,0.3821289539337158
95.0,81,0.38634490966796875
95.0,82,0.38982510566711426
95.0,83,0.3940601348876953
95.0,84,0.39783406257629395
95.0,85,0.40174007415771484
95.0,86,0.40582895278930664
95.0,87,0.4094069004058838
95.0,88,0.41321492195129395
95.0,89,0.4169600009918213
95.0,90,0.4205927848815918
95.0,91,0.42420101165771484
95.0,92,0.42771005630493164
95.0,93,0.4314260482788086
95.0,94,0.43561291694641113
95.0,95,0.439755916595459
95.0,96,0.4435288906097412
95.0,97,0.4477367401123047
95.0,98,0.4524979591369629
95.0,99,0.45641589164733887
95.0,100,0.4601900577545166
