r,l,t
-51,1,0.0037450790405273438
-51,2,0.00761103630065918
-51,3,0.01165914535522461
-51,4,0.01725006103515625
-51,5,0.021917104721069336
-51,6,0.06150412559509277
-51,7,0.09174013137817383
-51,8,0.12028026580810547
85.0,9,0.12914204597473145
-51,10,0.15909719467163086
-51,11,0.18987512588500977
-51,12,0.21893310546875
86.0,13,0.22797298431396484
-51,14,0.25997304916381836
-51,15,0.2890281677246094
-51,16,0.31771016120910645
-51,17,0.3469681739807129
-51,18,0.3776071071624756
-51,19,0.40662503242492676
-51,20,0.4353170394897461
-51,21,0.46642613410949707
-51,22,0.4954221248626709
-51,23,0.5227570533752441
-51,24,0.5480101108551025
-51,25,0.5736401081085205
-51,26,0.5990989208221436
-51,27,0.6253681182861328
-51,28,0.6519200801849365
-51,29,0.6775500774383545
-51,30,0.7089653015136719
-51,31,0.7370860576629639
-51,32,0.7637441158294678
-51,33,0.7907342910766602
-51,34,0.8168792724609375
95.0,35,0.8204009532928467
95.0,36,0.823976993560791
95.0,37,0.8274960517883301
95.0,38,0.8312201499938965
95.0,39,0.8349640369415283
95.0,40,0.8389260768890381
95.0,41,0.8421661853790283
95.0,42,0.8459210395812988
95.0,43,0.8498902320861816
95.0,44,0.8534631729125977
95.0,45,0.8568840026855469
95.0,46,0.8603451251983643
95.0,47,0.864250898361206
95.0,48,0.867915153503418
95.0,49,0.8715910911560059
95.0,50,0.8749709129333496
95.0,51,0.8783230781555176
95.0,52,0.8818912506103516
95.0,53,0.8851380348205566
95.0,54,0.8883981704711914
95.0,55,0.8923599720001221
95.0,56,0.8965771198272705
95.0,57,0.9005701541900635
95.0,58,0.9066271781921387
95.0,59,0.9105710983276367
95.0,60,0.9144761562347412
95.0,61,0.9181382656097412
95.0,62,0.9215371608734131
95.0,63,0.9253652095794678
95.0,64,0.9290719032287598
95.0,65,0.9334101676940918
95.0,66,0.9372959136962891
95.0,67,0.9409019947052002
95.0,68,0.9444661140441895
95.0,69,0.947749137878418
95.0,70,0.9515080451965332
95.0,71,0.954829216003418
95.0,72,0.9582343101501465
95.0,73,0.9617211818695068
95.0,74,0.9658000469207764
95.0,75,0.969567060470581
95.0,76,0.9732141494750977
95.0,77,0.9764821529388428
95.0,78,0.9799461364746094
95.0,79,0.9832441806793213
95.0,80,0.9868922233581543
95.0,81,0.9903490543365479
95.0,82,0.9941990375518799
95.0,83,0.9978771209716797
95.0,84,1.0012900829315186
95.0,85,1.0049030780792236
95.0,86,1.008397102355957
95.0,87,1.0122430324554443
95.0,88,1.0160362720489502
95.0,89,1.02061128616333
95.0,90,1.0252110958099365
95.0,91,1.029083013534546
95.0,92,1.0328710079193115
95.0,93,1.0366051197052002
95.0,94,1.0405042171478271
95.0,95,1.0441691875457764
95.0,96,1.0483143329620361
95.0,97,1.0517311096191406
95.0,98,1.0552101135253906
95.0,99,1.0591912269592285
95.0,100,1.0627589225769043
