r,l,t
-52,51,0.00347900390625
85.0,15,0.005722999572753906
76.0,24,0.008795976638793945
92.0,8,0.01044607162475586
88.0,12,0.01217198371887207
95.0,5,0.013344049453735352
86.0,14,0.015351057052612305
95.0,5,0.016837120056152344
87.0,13,0.018989086151123047
90.0,10,0.02057194709777832
92.0,8,0.0222320556640625
82.0,18,0.024143218994140625
93.0,7,0.025264978408813477
91.0,9,0.02668905258178711
93.0,7,0.02822089195251465
92.0,8,0.02995896339416504
92.0,8,0.03154611587524414
93.0,7,0.032961130142211914
90.0,10,0.034197092056274414
89.0,11,0.035398006439208984
91.0,9,0.036618947982788086
82.0,18,0.03879809379577637
92.0,8,0.040258169174194336
75.0,25,0.042945146560668945
77.0,23,0.04492998123168945
68.0,32,0.047325849533081055
94.0,6,0.04871511459350586
90.0,10,0.049818992614746094
86.0,14,0.05115485191345215
80.0,20,0.0528409481048584
81.0,19,0.05444502830505371
93.0,7,0.05541086196899414
92.0,8,0.056585073471069336
75.0,25,0.05842900276184082
93.0,7,0.05921602249145508
80.0,20,0.06069803237915039
86.0,14,0.06181979179382324
86.0,14,0.0629880428314209
92.0,8,0.06374979019165039
60.0,40,0.06593894958496094
91.0,9,0.06673693656921387
90.0,10,0.06752800941467285
92.0,8,0.06819605827331543
90.0,10,0.06915497779846191
80.0,20,0.07032012939453125
88.0,12,0.07114791870117188
95.0,5,0.0717010498046875
91.0,9,0.07244396209716797
92.0,8,0.07327008247375488
93.0,7,0.07397103309631348
78.0,22,0.0752260684967041
89.0,11,0.07600593566894531
89.0,11,0.07685303688049316
87.0,13,0.07770013809204102
74.0,26,0.07909989356994629
95.0,5,0.07967805862426758
85.0,15,0.08062005043029785
94.0,6,0.08117985725402832
88.0,12,0.0820469856262207
78.0,22,0.08350110054016113
79.0,21,0.08475708961486816
92.0,8,0.08541107177734375
62.0,38,0.08735108375549316
93.0,7,0.0879669189453125
87.0,13,0.0889129638671875
72.0,28,0.0904691219329834
93.0,7,0.09109091758728027
82.0,18,0.0921640396118164
89.0,11,0.09292483329772949
91.0,9,0.09367489814758301
95.0,5,0.09423995018005371
92.0,8,0.09492087364196777
89.0,11,0.09571409225463867
83.0,17,0.0968019962310791
92.0,8,0.09752488136291504
76.0,24,0.098876953125
85.0,15,0.0998830795288086
85.0,15,0.10092997550964355
68.0,32,0.10258102416992188
82.0,18,0.10388517379760742
73.0,27,0.10541796684265137
84.0,16,0.10667204856872559
89.0,11,0.10769510269165039
86.0,14,0.10869407653808594
90.0,10,0.10953497886657715
94.0,6,0.11013197898864746
75.0,25,0.11151790618896484
90.0,10,0.11225199699401855
81.0,19,0.11344695091247559
82.0,18,0.11450815200805664
89.0,11,0.11541199684143066
74.0,26,0.11682891845703125
93.0,7,0.11747503280639648
94.0,6,0.11805105209350586
79.0,21,0.11939501762390137
94.0,6,0.11997485160827637
67.0,33,0.12163996696472168
94.0,6,0.12228512763977051
93.0,7,0.12309885025024414
87.0,13,0.12434196472167969
