r,l,t
62.0,38,0.0027561187744140625
50.0,50,0.007319927215576172
85.0,15,0.009482860565185547
83.0,17,0.011577129364013672
82.0,18,0.014014959335327148
88.0,12,0.015841960906982422
94.0,6,0.01725006103515625
85.0,15,0.01947307586669922
90.0,10,0.021205902099609375
68.0,32,0.023962020874023438
84.0,16,0.026002168655395508
95.0,5,0.027215003967285156
61.0,39,0.0310518741607666
95.0,5,0.031939029693603516
89.0,11,0.03310203552246094
88.0,12,0.03433108329772949
88.0,12,0.035989999771118164
91.0,9,0.03732705116271973
92.0,8,0.03853797912597656
93.0,7,0.03937101364135742
68.0,32,0.04181694984436035
66.0,34,0.044387102127075195
91.0,9,0.04540514945983887
86.0,14,0.04671001434326172
82.0,18,0.04847097396850586
92.0,8,0.04943203926086426
92.0,8,0.05025601387023926
83.0,17,0.05158281326293945
86.0,14,0.052674055099487305
66.0,34,0.05476188659667969
83.0,17,0.056001901626586914
79.0,21,0.05733203887939453
93.0,7,0.05795693397521973
92.0,8,0.058686017990112305
91.0,9,0.05938291549682617
88.0,12,0.06028294563293457
94.0,6,0.06089210510253906
89.0,11,0.061776161193847656
82.0,18,0.0629119873046875
89.0,11,0.06360912322998047
93.0,7,0.0642249584197998
78.0,22,0.06553792953491211
65.0,35,0.06731510162353516
87.0,13,0.06817293167114258
80.0,20,0.06940722465515137
74.0,26,0.07084989547729492
84.0,16,0.07184290885925293
89.0,11,0.0726921558380127
92.0,8,0.07334399223327637
89.0,11,0.07413792610168457
86.0,14,0.07518410682678223
90.0,10,0.0761270523071289
83.0,17,0.07731008529663086
88.0,12,0.07813906669616699
95.0,5,0.07867884635925293
92.0,8,0.07932305335998535
75.0,25,0.08075904846191406
64.0,36,0.08265209197998047
93.0,7,0.08327484130859375
63.0,37,0.08516407012939453
82.0,18,0.08634805679321289
95.0,5,0.08686995506286621
83.0,17,0.08797621726989746
92.0,8,0.08864998817443848
89.0,11,0.08950495719909668
91.0,9,0.0901939868927002
83.0,17,0.0912318229675293
76.0,24,0.09260296821594238
79.0,21,0.09389209747314453
91.0,9,0.09460902214050293
93.0,7,0.0952301025390625
86.0,14,0.09616208076477051
89.0,11,0.09702014923095703
90.0,10,0.09779810905456543
80.0,20,0.09912323951721191
88.0,12,0.09995198249816895
82.0,18,0.10104489326477051
87.0,13,0.10199117660522461
93.0,7,0.10263323783874512
79.0,21,0.10389900207519531
86.0,14,0.10504007339477539
75.0,25,0.10666513442993164
93.0,7,0.10726690292358398
91.0,9,0.1082921028137207
84.0,16,0.1096029281616211
95.0,5,0.11029911041259766
93.0,7,0.11098408699035645
80.0,20,0.11217403411865234
95.0,5,0.11268281936645508
61.0,39,0.11463117599487305
93.0,7,0.11521196365356445
95.0,5,0.11580705642700195
90.0,10,0.11654019355773926
86.0,14,0.11759805679321289
89.0,11,0.11838889122009277
86.0,14,0.11940908432006836
94.0,6,0.12009692192077637
85.0,15,0.12115693092346191
91.0,9,0.12195491790771484
85.0,15,0.12304496765136719
