r,l,t
-52,51,0.0024566650390625
64.0,36,0.004809856414794922
-52,51,0.007467746734619141
-52,51,0.010148763656616211
-52,51,0.013054847717285156
-52,51,0.01581287384033203
-52,51,0.019220829010009766
-52,51,0.021945714950561523
-52,51,0.024554014205932617
81.0,19,0.025915861129760742
-52,51,0.028780698776245117
-52,51,0.03135371208190918
-52,51,0.03395271301269531
-52,51,0.036676883697509766
74.0,26,0.038263797760009766
-52,51,0.04131889343261719
86.0,14,0.04247879981994629
-52,51,0.04506492614746094
68.0,32,0.046759843826293945
92.0,8,0.04755973815917969
-52,51,0.050107717514038086
92.0,8,0.050775766372680664
50.0,50,0.053244829177856445
83.0,17,0.05448770523071289
95.0,5,0.0550236701965332
88.0,12,0.055838823318481445
63.0,37,0.057706594467163086
78.0,22,0.05914759635925293
92.0,8,0.059877872467041016
81.0,19,0.06112790107727051
93.0,7,0.0617825984954834
87.0,13,0.06264662742614746
93.0,7,0.06323790550231934
69.0,31,0.0648646354675293
88.0,12,0.06565284729003906
95.0,5,0.06617379188537598
91.0,9,0.06683588027954102
58.0,42,0.06905579566955566
90.0,10,0.06986069679260254
86.0,14,0.07080769538879395
65.0,35,0.07264280319213867
95.0,5,0.07315874099731445
94.0,6,0.07377791404724121
79.0,21,0.07500791549682617
90.0,10,0.07576394081115723
89.0,11,0.07673764228820801
93.0,7,0.07737183570861816
90.0,10,0.07813882827758789
80.0,20,0.07935380935668945
95.0,5,0.07993388175964355
79.0,21,0.08119082450866699
81.0,19,0.08246564865112305
88.0,12,0.08330965042114258
94.0,6,0.08398270606994629
88.0,12,0.08499979972839355
71.0,29,0.08667492866516113
87.0,13,0.08793497085571289
95.0,5,0.08855557441711426
89.0,11,0.08952069282531738
90.0,10,0.09038376808166504
53.0,47,0.09335660934448242
66.0,34,0.0953068733215332
87.0,13,0.09618258476257324
69.0,31,0.09794092178344727
80.0,20,0.09914588928222656
87.0,13,0.10041499137878418
89.0,11,0.10134577751159668
-52,51,0.10421371459960938
95.0,5,0.10479879379272461
89.0,11,0.10565567016601562
81.0,19,0.1067807674407959
86.0,14,0.10766959190368652
88.0,12,0.10865473747253418
95.0,5,0.10921287536621094
83.0,17,0.11025071144104004
82.0,18,0.11143875122070312
78.0,22,0.11286091804504395
88.0,12,0.113739013671875
87.0,13,0.11466670036315918
74.0,26,0.11610984802246094
86.0,14,0.11707687377929688
84.0,16,0.11808586120605469
93.0,7,0.11875081062316895
95.0,5,0.11936378479003906
78.0,22,0.12059593200683594
91.0,9,0.12133288383483887
75.0,25,0.12278461456298828
84.0,16,0.12390875816345215
87.0,13,0.12494063377380371
86.0,14,0.12599968910217285
90.0,10,0.12672162055969238
86.0,14,0.12765789031982422
95.0,5,0.1281757354736328
92.0,8,0.12882471084594727
82.0,18,0.12993097305297852
91.0,9,0.13059782981872559
91.0,9,0.13127875328063965
61.0,39,0.13335180282592773
87.0,13,0.13426876068115234
91.0,9,0.1350557804107666
