r,l,t
1194,1,0.054556846618652344
1356,2,0.09241700172424316
1264,3,0.12965774536132812
1268,4,0.16805195808410645
1148,5,0.20467782020568848
3760,6,0.2840759754180908
3516,7,0.3552219867706299
3388,8,0.4244699478149414
3810,9,0.5010659694671631
3716,10,0.5780599117279053
3618,11,0.6512057781219482
3570,12,0.7252938747406006
3960,13,0.7932119369506836
3566,14,0.8607738018035889
3498,15,0.9501938819885254
3778,16,1.026146650314331
3238,17,1.1000769138336182
3746,18,1.1744458675384521
3756,19,1.2530670166015625
4114,20,1.3271498680114746
4034,21,1.405336856842041
3922,22,1.4795658588409424
3802,23,1.5536949634552002
3844,24,1.6283609867095947
3552,25,1.697429895401001
3570,26,1.762808084487915
3838,27,1.8341548442840576
4064,28,1.9142498970031738
4556,29,1.979158878326416
3728,30,2.0632219314575195
4050,31,2.1350209712982178
3736,32,2.2033069133758545
3452,33,2.273716926574707
3690,34,2.3468217849731445
3838,35,2.415444850921631
3698,36,2.4885759353637695
3662,37,2.567166805267334
4034,38,2.636326789855957
3718,39,2.7075610160827637
3994,40,2.780663013458252
3636,41,2.849378824234009
3674,42,2.920621871948242
3656,43,3.0033578872680664
3962,44,3.078425884246826
3690,45,3.1542327404022217
3526,46,3.2260069847106934
3642,47,3.2967159748077393
3512,48,3.364590883255005
4130,49,3.4390668869018555
3224,50,3.5064268112182617
3468,51,3.5724499225616455
4026,52,3.64400577545166
4276,53,3.707397937774658
3746,54,3.771235704421997
4048,55,3.845167875289917
4302,56,3.9105427265167236
4220,57,3.9816038608551025
4052,58,4.058212757110596
4250,59,4.1361048221588135
3458,60,4.2098658084869385
3492,61,4.28416895866394
4242,62,4.356487989425659
3652,63,4.4289939403533936
3306,64,4.506671905517578
3344,65,4.578986883163452
3982,66,4.642026901245117
3368,67,4.707298755645752
3464,68,4.824779987335205
3898,69,4.907257795333862
3676,70,4.988451719284058
3648,71,5.06696081161499
4272,72,5.143427848815918
3866,73,5.218138933181763
3984,74,5.294969797134399
4076,75,5.368499994277954
3670,76,5.442008018493652
3004,77,5.5163750648498535
3864,78,5.5909318923950195
3804,79,5.664865016937256
3836,80,5.740180969238281
3640,81,5.814069032669067
3242,82,5.887425899505615
3352,83,5.9596710205078125
3474,84,6.033622980117798
3804,85,6.121368885040283
3766,86,6.194867849349976
3326,87,6.268978834152222
3212,88,6.34499192237854
3558,89,6.424862861633301
3794,90,6.499791860580444
3532,91,6.572288990020752
3816,92,6.646014928817749
3132,93,6.720847845077515
3894,94,6.797532796859741
3566,95,6.875393867492676
3238,96,6.950791835784912
3728,97,7.025738000869751
3746,98,7.101852893829346
3678,99,7.177076816558838
3750,100,7.251046895980835
3658,101,7.325779914855957
3616,102,7.397917985916138
3414,103,7.469069719314575
3892,104,7.542388916015625
4030,105,7.613656044006348
3984,106,7.678558826446533
3506,107,7.74470591545105
3558,108,7.810733079910278
3704,109,7.885535955429077
3630,110,7.950953006744385
3252,111,8.021293878555298
3406,112,8.087617874145508
4086,113,8.151098728179932
3412,114,8.216095924377441
3412,115,8.287530899047852
3526,116,8.362973928451538
3794,117,8.42808985710144
3606,118,8.491426706314087
3682,119,8.5588698387146
3504,120,8.622928857803345
3698,121,8.686673879623413
3594,122,8.752470970153809
3702,123,8.819515943527222
3912,124,8.890203952789307
4030,125,8.955841064453125
3230,126,9.020864009857178
3748,127,9.08901596069336
3426,128,9.153753757476807
3994,129,9.217400074005127
3662,130,9.288167953491211
3808,131,9.361155033111572
3744,132,9.426776885986328
4218,133,9.496032953262329
3532,134,9.5621178150177
3406,135,9.628868818283081
4144,136,9.692657947540283
3590,137,9.75662899017334
4114,138,9.822861671447754
3302,139,9.897620916366577
3476,140,9.962450981140137
3848,141,10.029801845550537
3294,142,10.100217819213867
3694,143,10.166393756866455
3748,144,10.229794025421143
3422,145,10.300338983535767
3162,146,10.3696870803833
3648,147,10.433331966400146
3884,148,10.500868797302246
3452,149,10.567856788635254
3236,150,10.633699893951416
4042,151,10.698190689086914
3518,152,10.773279905319214
3238,153,10.847697973251343
3938,154,10.916125774383545
3308,155,10.979510068893433
3988,156,11.052485942840576
3594,157,11.12539792060852
3422,158,11.199026823043823
3366,159,11.275944948196411
3508,160,11.349694967269897
3696,161,11.423622846603394
3822,162,11.49713683128357
3090,163,11.571521043777466
4144,164,11.645725965499878
3672,165,11.719885110855103
3712,166,11.794001817703247
3650,167,11.869293689727783
3902,168,11.938273906707764
3598,169,12.00863003730774
4110,170,12.08149790763855
4046,171,12.155494928359985
3986,172,12.228985786437988
3040,173,12.30386996269226
3498,174,12.374667882919312
3764,175,12.43939471244812
3794,176,12.508727073669434
3636,177,12.573041915893555
3726,178,12.639518976211548
3438,179,12.703275918960571
3860,180,12.774715900421143
3782,181,12.85129976272583
3570,182,12.922175884246826
3050,183,12.98699688911438
3550,184,13.062766790390015
3192,185,13.137519836425781
3934,186,13.211010932922363
3150,187,13.28810977935791
3570,188,13.362366914749146
3570,189,13.436261892318726
3326,190,13.509005784988403
3906,191,13.583330869674683
3240,192,13.658381700515747
3214,193,13.733227968215942
3452,194,13.802868843078613
3732,195,13.872049808502197
4082,196,13.941240787506104
3934,197,14.011138916015625
3268,198,14.081537008285522
3658,199,14.156966924667358
4118,200,14.230880975723267
