r,l,t
1422,1,0.0592198371887207
1244,2,0.09909868240356445
1282,3,0.13994383811950684
1182,4,0.18046164512634277
1138,5,0.21775174140930176
2104,6,0.29293274879455566
2058,7,0.36250877380371094
2226,8,0.4288215637207031
2484,9,0.4971427917480469
2058,10,0.5773828029632568
2710,11,0.6573398113250732
3002,12,0.7355437278747559
2668,13,0.8139986991882324
3198,14,0.8843729496002197
3438,15,0.9506747722625732
4160,16,1.019704818725586
3478,17,1.1004695892333984
3874,18,1.1779377460479736
3532,19,1.2579545974731445
3452,20,1.3375349044799805
2466,21,1.41172194480896
2962,22,1.4914298057556152
3092,23,1.5677118301391602
2752,24,1.644235610961914
2988,25,1.7244696617126465
3132,26,1.8014626502990723
2948,27,1.8721866607666016
2724,28,1.944692850112915
2824,29,2.0257158279418945
3598,30,2.104090690612793
3818,31,2.1828527450561523
3834,32,2.2615208625793457
3848,33,2.3390767574310303
3224,34,2.4196066856384277
3834,35,2.4942798614501953
3444,36,2.568175792694092
3578,37,2.6488466262817383
3344,38,2.7294836044311523
3844,39,2.806753635406494
3514,40,2.8874077796936035
3632,41,2.96400785446167
3968,42,3.0443809032440186
3678,43,3.1242806911468506
3696,44,3.2027766704559326
3812,45,3.279289722442627
3414,46,3.3602488040924072
3676,47,3.435736656188965
3666,48,3.5112106800079346
3750,49,3.590252637863159
3750,50,3.6651158332824707
3878,51,3.7366228103637695
3274,52,3.811525821685791
3560,53,3.88358473777771
3416,54,3.9580328464508057
3828,55,4.034702777862549
3772,56,4.113534927368164
3834,57,4.185489892959595
3868,58,4.2644736766815186
3682,59,4.343236684799194
3374,60,4.413001775741577
3484,61,4.486792802810669
3598,62,4.569277763366699
3956,63,4.648451805114746
3832,64,4.728143692016602
3966,65,4.806879997253418
3274,66,4.879991769790649
3756,67,4.9594666957855225
3692,68,5.038201808929443
3418,69,5.118420839309692
3876,70,5.1977379322052
3114,71,5.273737907409668
3814,72,5.348589658737183
3620,73,5.4294116497039795
3338,74,5.507778644561768
3354,75,5.585414886474609
4006,76,5.665150880813599
3626,77,5.7439587116241455
3696,78,5.816154718399048
3582,79,5.8939735889434814
3834,80,5.968319892883301
3934,81,6.036701917648315
3706,82,6.113188743591309
3224,83,6.197051763534546
3848,84,6.275389909744263
3398,85,6.3576319217681885
3644,86,6.436900854110718
3680,87,6.513779878616333
4272,88,6.5928168296813965
3632,89,6.672523736953735
3448,90,6.75223183631897
3836,91,6.828643798828125
3916,92,6.9006876945495605
4352,93,6.970968723297119
3688,94,7.053449869155884
3354,95,7.131221771240234
4474,96,7.209741830825806
3626,97,7.288750648498535
4396,98,7.368577718734741
3650,99,7.443414688110352
3326,100,7.51104998588562
3472,101,7.588433742523193
3490,102,7.66672682762146
3576,103,7.74860692024231
3474,104,7.825498819351196
3586,105,7.903966903686523
3676,106,7.981145858764648
3190,107,8.058764696121216
4002,108,8.135531663894653
4180,109,8.21262264251709
3758,110,8.28888487815857
3978,111,8.36953592300415
3956,112,8.450202703475952
3594,113,8.528483629226685
3246,114,8.606308698654175
3932,115,8.684375762939453
3308,116,8.756953716278076
3470,117,8.826941728591919
3590,118,8.900481700897217
4148,119,8.978832721710205
3580,120,9.056761741638184
3668,121,9.136462688446045
4210,122,9.21587085723877
2854,123,9.294677734375
3074,124,9.374717950820923
3252,125,9.453080654144287
3256,126,9.522357702255249
3046,127,9.593775749206543
3004,128,9.686973810195923
3258,129,9.762372732162476
2888,130,9.845615863800049
3142,131,9.924856662750244
2836,132,10.003414630889893
3660,133,10.083255767822266
3980,134,10.161137819290161
3738,135,10.237107753753662
3576,136,10.314872741699219
3786,137,10.392530918121338
3596,138,10.46770977973938
3580,139,10.545889616012573
3994,140,10.62053370475769
3436,141,10.693736791610718
3628,142,10.771039962768555
3722,143,10.848454713821411
3494,144,10.920798778533936
4066,145,10.99000883102417
3576,146,11.059264659881592
2942,147,11.130136728286743
3186,148,11.207586765289307
3220,149,11.283939838409424
3514,150,11.353233814239502
3698,151,11.427701711654663
3952,152,11.505988836288452
3610,153,11.576124906539917
3508,154,11.654470920562744
3718,155,11.734089851379395
4076,156,11.802504777908325
3384,157,11.872076749801636
3832,158,11.943597793579102
3568,159,12.021732807159424
3452,160,12.101573705673218
3766,161,12.179099798202515
3372,162,12.257761716842651
3514,163,12.335821628570557
3800,164,12.410586833953857
3898,165,12.486568927764893
3932,166,12.560857772827148
3544,167,12.635945796966553
3954,168,12.709975719451904
3598,169,12.784440755844116
3528,170,12.85457992553711
3954,171,12.937325716018677
3240,172,13.015358924865723
3604,173,13.09183382987976
3416,174,13.17016077041626
3638,175,13.245881795883179
3416,176,13.318174839019775
3472,177,13.394661664962769
3456,178,13.470885753631592
4076,179,13.553123712539673
3892,180,13.627518892288208
3834,181,13.700467824935913
3492,182,13.773299932479858
3640,183,13.842370748519897
3040,184,13.912618637084961
3656,185,13.994324922561646
3514,186,14.07197380065918
3926,187,14.158260822296143
4248,188,14.235976934432983
3488,189,14.312970876693726
3346,190,14.39200472831726
3604,191,14.460893869400024
3198,192,14.541773796081543
3426,193,14.617377758026123
3756,194,14.694430828094482
3838,195,14.768863916397095
3720,196,14.843949794769287
3848,197,14.918448686599731
3414,198,15.001749753952026
4106,199,15.079019784927368
3732,200,15.151668787002563
