r,l,t
1288,1,0.0492401123046875
1264,2,0.09095311164855957
1358,3,0.13116908073425293
1228,4,0.1698002815246582
1304,5,0.21445727348327637
4068,6,0.3020322322845459
3540,7,0.3790562152862549
3708,8,0.46039915084838867
4040,9,0.5409791469573975
3688,10,0.6112451553344727
3414,11,0.6845381259918213
3494,12,0.7658162117004395
3538,13,0.847069263458252
3694,14,0.928206205368042
3990,15,1.0109491348266602
3886,16,1.0899760723114014
3148,17,1.1712672710418701
3194,18,1.2536342144012451
4318,19,1.3336572647094727
3546,20,1.4146523475646973
3270,21,1.4954991340637207
3430,22,1.5746402740478516
3452,23,1.6453220844268799
3834,24,1.716219186782837
4022,25,1.7876121997833252
3956,26,1.8559222221374512
3582,27,1.934544324874878
3164,28,2.0137102603912354
3480,29,2.09004807472229
3674,30,2.167994260787964
3650,31,2.242357015609741
3868,32,2.311481237411499
3716,33,2.3811511993408203
3450,34,2.4555740356445312
3928,35,2.5237843990325928
3726,36,2.592987298965454
3364,37,2.6691882610321045
3830,38,2.7393972873687744
4202,39,2.809901237487793
3386,40,2.884247064590454
3804,41,2.956695079803467
3256,42,3.0295112133026123
3894,43,3.102919340133667
3938,44,3.1720781326293945
3812,45,3.242384195327759
3990,46,3.3197309970855713
3440,47,3.3881051540374756
3612,48,3.4578282833099365
3590,49,3.534309148788452
3986,50,3.605084180831909
3836,51,3.674938201904297
3170,52,3.749427080154419
4202,53,3.8240702152252197
3508,54,3.8955931663513184
3750,55,3.974644184112549
3584,56,4.042555332183838
3404,57,4.1119301319122314
3534,58,4.1876161098480225
3696,59,4.256870269775391
3266,60,4.327574014663696
3328,61,4.402701139450073
3686,62,4.470771074295044
3984,63,4.543598175048828
3988,64,4.619415044784546
3262,65,4.687938213348389
3904,66,4.756552219390869
3632,67,4.832732200622559
3986,68,4.902076244354248
3272,69,4.987171173095703
3516,70,5.059301137924194
3298,71,5.128564119338989
3624,72,5.199613332748413
3390,73,5.274830102920532
3582,74,5.34335732460022
3202,75,5.413855075836182
3744,76,5.488947153091431
3892,77,5.5577552318573
3650,78,5.62887716293335
3334,79,5.703778266906738
3696,80,5.77323317527771
4144,81,5.8440892696380615
3524,82,5.920123338699341
3586,83,5.990347146987915
3626,84,6.065625190734863
3842,85,6.138390064239502
3802,86,6.20785117149353
2960,87,6.277623176574707
3988,88,6.356968402862549
4090,89,6.4262871742248535
3652,90,6.495760202407837
3958,91,6.57288122177124
3940,92,6.643190145492554
3266,93,6.713749170303345
3632,94,6.789549112319946
3736,95,6.858172178268433
3788,96,6.929781198501587
3948,97,7.0065741539001465
3514,98,7.079116106033325
3278,99,7.148244142532349
3274,100,7.2236433029174805
3542,101,7.292206287384033
3490,102,7.363800287246704
3998,103,7.439119100570679
3666,104,7.508307218551636
3714,105,7.581529140472412
3480,106,7.658104181289673
3148,107,7.73716926574707
3272,108,7.808341026306152
3462,109,7.891561985015869
3722,110,7.968269109725952
3852,111,8.044525146484375
3696,112,8.11503005027771
3076,113,8.18366003036499
3846,114,8.253010272979736
3828,115,8.327546119689941
3298,116,8.396865129470825
3568,117,8.468900203704834
3900,118,8.5419282913208
4164,119,8.610186100006104
3504,120,8.678664207458496
4066,121,8.7525053024292
3782,122,8.820931196212769
3960,123,8.891106128692627
3920,124,8.963979005813599
3774,125,9.032899141311646
3464,126,9.102745294570923
3362,127,9.178378105163574
3232,128,9.246288299560547
3522,129,9.317413330078125
3834,130,9.38980507850647
3454,131,9.457917213439941
3650,132,9.528115034103394
3646,133,9.609899044036865
3838,134,9.678250074386597
3554,135,9.750549077987671
3902,136,9.822567224502563
3936,137,9.890772104263306
3938,138,9.959551095962524
3340,139,10.035284996032715
4056,140,10.105030298233032
3626,141,10.174477100372314
3496,142,10.246344327926636
3662,143,10.314277172088623
3870,144,10.385018110275269
4012,145,10.458590030670166
3846,146,10.528097152709961
3798,147,10.597716093063354
3746,148,10.671123266220093
3678,149,10.73901629447937
3476,150,10.80693507194519
3968,151,10.880096197128296
3728,152,10.947867155075073
4024,153,11.01784610748291
3510,154,11.090068101882935
4094,155,11.158559083938599
3668,156,11.228829383850098
3642,157,11.300424337387085
3938,158,11.368808269500732
3500,159,11.440253257751465
4390,160,11.51141095161438
3498,161,11.58274507522583
3432,162,11.659890174865723
3508,163,11.731853246688843
3410,164,11.801453113555908
3920,165,11.871785163879395
3822,166,11.944441080093384
3782,167,12.015137195587158
3588,168,12.086522102355957
3750,169,12.16942024230957
3540,170,12.249022006988525
3966,171,12.324077129364014
3918,172,12.397301197052002
3670,173,12.465862274169922
3988,174,12.536474227905273
3358,175,12.609260082244873
3712,176,12.677225112915039
3936,177,12.74584412574768
3572,178,12.818952322006226
3840,179,12.889242172241211
3986,180,12.964392185211182
3688,181,13.036838293075562
3366,182,13.105147123336792
3452,183,13.176290035247803
3848,184,13.24821925163269
3460,185,13.316676139831543
3652,186,13.387091398239136
3574,187,13.459073066711426
3464,188,13.529335260391235
3576,189,13.600868225097656
3622,190,13.673673152923584
3294,191,13.742277145385742
3902,192,13.813364028930664
3760,193,13.885135173797607
3816,194,13.956114292144775
3334,195,14.028436183929443
3962,196,14.101136207580566
3462,197,14.169011116027832
3926,198,14.237361192703247
3658,199,14.310397386550903
3660,200,14.380516290664673
