r,l,t
1262,1,0.053833961486816406
1242,2,0.09294700622558594
1394,3,0.13056302070617676
1284,4,0.1703200340270996
1424,5,0.20694589614868164
2204,6,0.28751492500305176
2092,7,0.36563611030578613
2224,8,0.4444890022277832
1938,9,0.5222189426422119
2336,10,0.5992288589477539
2150,11,0.6752259731292725
2100,12,0.7525298595428467
2040,13,0.8302698135375977
1988,14,0.9052460193634033
2232,15,0.9800050258636475
1942,16,1.05517578125
1892,17,1.128972053527832
2234,18,1.2050249576568604
2094,19,1.2818350791931152
2256,20,1.3568828105926514
2026,21,1.433311939239502
2006,22,1.5072288513183594
2076,23,1.5783190727233887
2040,24,1.6546540260314941
2184,25,1.7305798530578613
2332,26,1.8057467937469482
2056,27,1.8863849639892578
2488,28,1.9658701419830322
2288,29,2.045178174972534
2020,30,2.1223957538604736
2002,31,2.198328971862793
2372,32,2.2700469493865967
2100,33,2.3399269580841064
2070,34,2.414355993270874
2144,35,2.4816129207611084
2014,36,2.553292989730835
2266,37,2.6311848163604736
2348,38,2.706408977508545
2034,39,2.7829859256744385
2164,40,2.8568098545074463
2818,41,2.9269440174102783
2700,42,2.9952030181884766
2814,43,3.073978900909424
2980,44,3.1486761569976807
3216,45,3.2261087894439697
2510,46,3.305172920227051
2556,47,3.3769760131835938
3010,48,3.453984022140503
2850,49,3.528103828430176
2540,50,3.6110000610351562
2756,51,3.6904819011688232
2994,52,3.7684731483459473
3260,53,3.8467159271240234
2882,54,3.925095796585083
2970,55,4.000760078430176
3472,56,4.069191932678223
2880,57,4.138033866882324
3212,58,4.211321115493774
2954,59,4.279287099838257
2970,60,4.353157043457031
3312,61,4.430762052536011
3088,62,4.506302833557129
3540,63,4.586061954498291
3008,64,4.65644383430481
3062,65,4.723781108856201
2950,66,4.795170068740845
3452,67,4.874830961227417
2976,68,4.944375991821289
2880,69,5.015109062194824
3048,70,5.09303092956543
3298,71,5.166708946228027
3208,72,5.240846157073975
2926,73,5.3175318241119385
3106,74,5.388016939163208
3164,75,5.462823867797852
2866,76,5.538684844970703
2888,77,5.611577987670898
2906,78,5.682307958602905
2800,79,5.765014886856079
3106,80,5.8437769412994385
3074,81,5.923877954483032
3150,82,6.000258922576904
2894,83,6.0734899044036865
2470,84,6.1511008739471436
3216,85,6.223936080932617
3258,86,6.2919511795043945
2806,87,6.364774942398071
3418,88,6.446746826171875
3018,89,6.526655912399292
2892,90,6.60791802406311
2880,91,6.683255910873413
3366,92,6.755841016769409
3386,93,6.830935001373291
2966,94,6.908489942550659
3600,95,6.977771043777466
3330,96,7.048727989196777
2786,97,7.123387813568115
2998,98,7.20073390007019
2938,99,7.279263973236084
2838,100,7.358201026916504
3328,101,7.430888891220093
3234,102,7.503156900405884
3344,103,7.577638864517212
3034,104,7.647578954696655
3188,105,7.716979026794434
3126,106,7.795269966125488
3172,107,7.868730068206787
3432,108,7.951685190200806
3446,109,8.032699823379517
2490,110,8.110306978225708
3406,111,8.189218044281006
2956,112,8.268616914749146
3092,113,8.343449115753174
3270,114,8.424011945724487
2808,115,8.504271984100342
2838,116,8.581679105758667
3280,117,8.66187596321106
2512,118,8.73692011833191
3056,119,8.808927059173584
2954,120,8.88479208946228
3170,121,8.958751916885376
3160,122,9.03544282913208
2956,123,9.117402076721191
3348,124,9.189861059188843
2900,125,9.267152786254883
2538,126,9.348751068115234
2890,127,9.430137157440186
2920,128,9.5105619430542
3032,129,9.589430093765259
2650,130,9.667371988296509
2936,131,9.737746000289917
2844,132,9.812108993530273
3024,133,9.894637107849121
3352,134,9.974554061889648
2764,135,10.054577827453613
2796,136,10.132869005203247
2808,137,10.205670833587646
2728,138,10.282238960266113
3210,139,10.361032009124756
2766,140,10.438727855682373
3196,141,10.516975164413452
3100,142,10.59050703048706
3368,143,10.664570093154907
3024,144,10.74568796157837
2842,145,10.824470043182373
3022,146,10.902314901351929
2920,147,10.977007865905762
3186,148,11.055891990661621
2606,149,11.134074926376343
3016,150,11.214015007019043
2784,151,11.29275894165039
2904,152,11.370971918106079
3576,153,11.451550960540771
2876,154,11.529962062835693
2552,155,11.607504844665527
2770,156,11.687334775924683
2982,157,11.764970064163208
3064,158,11.844326972961426
2804,159,11.924962043762207
3172,160,12.003651142120361
3312,161,12.082867860794067
2902,162,12.165970802307129
2706,163,12.247437953948975
2884,164,12.327658891677856
2812,165,12.408517837524414
3028,166,12.488908052444458
3238,167,12.568273782730103
2944,168,12.648947954177856
3146,169,12.723207950592041
2824,170,12.80222487449646
3122,171,12.875478982925415
3366,172,12.951098918914795
3038,173,13.035865068435669
3234,174,13.114618062973022
2770,175,13.194638967514038
2644,176,13.275882005691528
2734,177,13.355565071105957
2878,178,13.435369968414307
3134,179,13.514400005340576
2796,180,13.593369960784912
2796,181,13.670353889465332
3130,182,13.74353313446045
2942,183,13.818618774414062
3268,184,13.893404960632324
3054,185,13.97210693359375
3020,186,14.054409980773926
3050,187,14.135326862335205
2694,188,14.216668844223022
3102,189,14.295233011245728
3130,190,14.373263120651245
2486,191,14.447357892990112
3130,192,14.525048971176147
3042,193,14.597509860992432
3150,194,14.667941093444824
3170,195,14.739151000976562
3010,196,14.816170930862427
2958,197,14.892880201339722
2608,198,14.97310996055603
3052,199,15.043342113494873
3022,200,15.112778902053833
