r,l,t
1452,999,0.050768136978149414
1388,999,0.09198212623596191
1630,999,0.13235092163085938
1764,999,0.17471003532409668
2136,999,0.2154560089111328
1840,999,0.2568321228027344
1584,999,0.30885815620422363
1762,999,0.3483588695526123
1718,999,0.3844878673553467
1754,999,0.42030811309814453
1758,999,0.4563882350921631
1818,999,0.5057699680328369
1956,999,0.5591559410095215
1630,999,0.6021099090576172
1758,999,0.6434071063995361
1948,999,0.6835660934448242
1976,999,0.7301299571990967
1986,999,0.7800741195678711
1962,999,0.8267290592193604
2008,999,0.8632819652557373
1552,999,0.9044930934906006
1990,999,0.9484200477600098
1698,999,0.9974038600921631
2044,999,1.0476350784301758
1810,999,1.096548080444336
1820,999,1.1389288902282715
1754,999,1.1857459545135498
1992,999,1.2365021705627441
2032,999,1.2875251770019531
1812,999,1.3272278308868408
1840,999,1.365718126296997
2008,999,1.408182144165039
1992,999,1.455826997756958
1960,999,1.5054101943969727
1830,999,1.5479521751403809
1930,999,1.5902650356292725
1762,999,1.6364240646362305
2158,999,1.6871161460876465
1934,999,1.7301609516143799
1932,999,1.779670000076294
1576,999,1.823071002960205
1916,999,1.87123703956604
2034,999,1.914689064025879
1920,999,1.9567480087280273
1944,999,1.998481035232544
1444,999,2.0392651557922363
1690,999,2.0815351009368896
1710,999,2.1289570331573486
1778,999,2.1795849800109863
1790,999,2.2170591354370117
1764,999,2.2556312084198
1658,999,2.2975921630859375
1752,999,2.3490450382232666
1752,999,2.3958730697631836
1746,999,2.4432530403137207
1778,999,2.48045015335083
1740,999,2.5253078937530518
1508,999,2.5721280574798584
1752,999,2.6147899627685547
1956,999,2.658370018005371
1654,999,2.7017998695373535
1838,999,2.748404026031494
2176,999,2.7940289974212646
1658,999,2.836277961730957
2138,999,2.8737900257110596
2072,999,2.912325143814087
1606,999,2.9531068801879883
1760,999,2.9976701736450195
1874,999,3.039423942565918
1754,999,3.078665018081665
1516,999,3.1152660846710205
1904,999,3.1534390449523926
2122,999,3.2019810676574707
1956,999,3.2521610260009766
1690,999,3.2904820442199707
1646,999,3.333670139312744
1844,999,3.375869035720825
1798,999,3.419159173965454
1860,999,3.463012218475342
1790,999,3.506742000579834
1606,999,3.549938917160034
1936,999,3.594489097595215
1816,999,3.6391549110412598
1854,999,3.689453125
1666,999,3.7326369285583496
1716,999,3.7730891704559326
1954,999,3.8138811588287354
1438,999,3.8555221557617188
1716,999,3.906409978866577
1878,999,3.956526041030884
2216,999,3.9949140548706055
2102,999,4.033003091812134
1940,999,4.075155973434448
1786,999,4.125333070755005
1882,999,4.176262855529785
1814,999,4.217115879058838
1886,999,4.258769989013672
2010,999,4.306523084640503
1558,999,4.356215000152588
1904,999,4.399314880371094
2074,999,4.440039873123169
1748,999,4.48064112663269
1850,999,4.522730112075806
1954,999,4.572216033935547
1882,999,4.611515998840332
1942,999,4.650015115737915
1840,999,4.687863111495972
1752,999,4.724760055541992
2000,999,4.77238917350769
1774,999,4.825827121734619
1900,999,4.865985155105591
1978,999,4.90583610534668
1926,999,4.950654983520508
1752,999,4.997946262359619
1912,999,5.04929518699646
1874,999,5.098904132843018
2100,999,5.140424966812134
1872,999,5.1829540729522705
1794,999,5.23065710067749
1756,999,5.280289173126221
1600,999,5.3309619426727295
1870,999,5.374305009841919
1700,999,5.414879083633423
1938,999,5.4636030197143555
1686,999,5.512314081192017
1922,999,5.550157070159912
1764,999,5.58661413192749
1824,999,5.62589693069458
1828,999,5.669628858566284
1916,999,5.713099956512451
2118,999,5.7573840618133545
2068,999,5.801532030105591
1662,999,5.849828243255615
1828,999,5.896529912948608
2012,999,5.945837020874023
1714,999,5.991935968399048
2048,999,6.031846284866333
1794,999,6.069008111953735
1972,999,6.1073222160339355
2110,999,6.15662693977356
1850,999,6.205007076263428
2100,999,6.2483251094818115
1962,999,6.287966012954712
1694,999,6.33102011680603
1914,999,6.372085094451904
1796,999,6.415988922119141
1722,999,6.458065986633301
1848,999,6.501039028167725
1860,999,6.545820951461792
1768,999,6.595035076141357
2066,999,6.6381261348724365
2028,999,6.679227113723755
1682,999,6.723887205123901
1956,999,6.771083116531372
1944,999,6.821001052856445
1886,999,6.868736028671265
1736,999,6.907534122467041
1838,999,6.949810981750488
1766,999,6.993155002593994
1830,999,7.042928218841553
1876,999,7.092897176742554
1844,999,7.132759094238281
1726,999,7.172664165496826
1884,999,7.215501070022583
1716,999,7.265400171279907
2000,999,7.314923048019409
1756,999,7.357671022415161
1958,999,7.39869499206543
2094,999,7.442471027374268
2252,999,7.493531227111816
1742,999,7.536510944366455
1522,999,7.580313205718994
2150,999,7.621538162231445
1924,999,7.668130159378052
2210,999,7.716580152511597
1684,999,7.767161130905151
2160,999,7.815899133682251
1608,999,7.864283084869385
1906,999,7.911813259124756
2180,999,7.952594995498657
1782,999,7.9911439418792725
1724,999,8.032083988189697
1688,999,8.075276136398315
2102,999,8.121376991271973
1774,999,8.169316053390503
1976,999,8.212134838104248
1950,999,8.252055168151855
1994,999,8.290483951568604
1610,999,8.330429077148438
2090,999,8.380885124206543
2004,999,8.421877145767212
1572,999,8.462760925292969
1794,999,8.50724720954895
1718,999,8.553165197372437
1822,999,8.60188102722168
1834,999,8.648818969726562
1790,999,8.694021940231323
1888,999,8.730049133300781
1576,999,8.768583059310913
1674,999,8.812822103500366
