r,l,t
1890,999,0.0692601203918457
1768,999,0.11240887641906738
2110,999,0.15387606620788574
2112,999,0.19446206092834473
1690,999,0.23152589797973633
1928,999,0.27214503288269043
1392,999,0.3158071041107178
1944,999,0.3553738594055176
1922,999,0.3918890953063965
1782,999,0.4285001754760742
1798,999,0.46524810791015625
1774,999,0.5136821269989014
2024,999,0.5650041103363037
1666,999,0.6150190830230713
1814,999,0.659447193145752
1708,999,0.7042770385742188
1612,999,0.7552049160003662
1818,999,0.8056509494781494
1668,999,0.8542230129241943
1558,999,0.8965849876403809
1922,999,0.9400951862335205
1996,999,0.9853651523590088
2030,999,1.0362892150878906
2060,999,1.0810120105743408
1814,999,1.1178350448608398
1692,999,1.1574501991271973
1760,999,1.2021079063415527
1746,999,1.2540152072906494
2200,999,1.3014521598815918
1838,999,1.3439350128173828
1706,999,1.3869740962982178
1996,999,1.433830976486206
1730,999,1.484508991241455
2032,999,1.5351619720458984
1750,999,1.5776090621948242
1896,999,1.619899034500122
1944,999,1.667072057723999
1806,999,1.7187390327453613
2178,999,1.764389991760254
1944,999,1.8145251274108887
1786,999,1.8736798763275146
1940,999,1.9221031665802002
1918,999,1.9646329879760742
1742,999,2.007923126220703
1574,999,2.0525050163269043
1956,999,2.101317882537842
2034,999,2.1535539627075195
1722,999,2.205209970474243
1796,999,2.2479939460754395
1640,999,2.2906289100646973
1686,999,2.3409149646759033
2056,999,2.3920249938964844
1828,999,2.441251039505005
1760,999,2.4832820892333984
1868,999,2.5255119800567627
1806,999,2.5730230808258057
2108,999,2.6236350536346436
1880,999,2.663693904876709
2012,999,2.702855110168457
1814,999,2.7432260513305664
1768,999,2.782593250274658
2100,999,2.8311190605163574
2134,999,2.8897650241851807
1946,999,2.938176155090332
2028,999,2.9794390201568604
2020,999,3.0289838314056396
1726,999,3.0726091861724854
1850,999,3.120065212249756
1702,999,3.1623640060424805
1944,999,3.2012791633605957
1892,999,3.242171049118042
1854,999,3.2926201820373535
1960,999,3.3424010276794434
1962,999,3.382995128631592
1726,999,3.4207801818847656
1908,999,3.4613709449768066
1942,999,3.510530948638916
1732,999,3.5632941722869873
1876,999,3.6061971187591553
1760,999,3.6442699432373047
1668,999,3.6821200847625732
2310,999,3.728865146636963
1684,999,3.7781200408935547
1920,999,3.821774959564209
1882,999,3.8670742511749268
1848,999,3.9064290523529053
1876,999,3.944054126739502
1680,999,3.982832908630371
1774,999,4.035661935806274
1780,999,4.07920503616333
2056,999,4.1189751625061035
1798,999,4.15662693977356
2100,999,4.195670127868652
1706,999,4.244189023971558
2294,999,4.2952940464019775
1590,999,4.344552040100098
1834,999,4.383013010025024
1698,999,4.420398950576782
1740,999,4.461419105529785
1780,999,4.511565923690796
1976,999,4.5599329471588135
1884,999,4.600785970687866
1988,999,4.641576051712036
1840,999,4.6843438148498535
1606,999,4.736577033996582
2060,999,4.775620937347412
1972,999,4.819287061691284
1728,999,4.857449054718018
1676,999,4.897539854049683
1814,999,4.946993112564087
2094,999,4.999244928359985
2060,999,5.051624059677124
2170,999,5.093563079833984
1852,999,5.1322691440582275
1888,999,5.172666072845459
1766,999,5.219130992889404
1734,999,5.270808935165405
1902,999,5.3126420974731445
1830,999,5.3498780727386475
1928,999,5.386325120925903
2162,999,5.42275595664978
1672,999,5.473861932754517
1846,999,5.511332988739014
2012,999,5.55826210975647
1412,999,5.599406003952026
1878,999,5.638924837112427
1612,999,5.675892114639282
1734,999,5.726049184799194
1896,999,5.771559953689575
1804,999,5.817309141159058
1938,999,5.862326145172119
1778,999,5.902017116546631
1610,999,5.943206071853638
1990,999,5.994082927703857
1862,999,6.0483238697052
1906,999,6.092693090438843
1652,999,6.133399963378906
2052,999,6.175537109375
1830,999,6.222747087478638
1800,999,6.265285968780518
1868,999,6.303782939910889
2248,999,6.342739105224609
1644,999,6.3792829513549805
1944,999,6.415896892547607
1580,999,6.459071159362793
1762,999,6.507962942123413
2092,999,6.553926944732666
1930,999,6.600948095321655
1814,999,6.643708944320679
1922,999,6.689000129699707
1936,999,6.739471912384033
2108,999,6.779882192611694
2022,999,6.817803144454956
1850,999,6.859740972518921
1750,999,6.898339033126831
1752,999,6.945870876312256
1670,999,6.996413946151733
1546,999,7.038278102874756
2088,999,7.083306074142456
1590,999,7.123461961746216
1950,999,7.163179159164429
1956,999,7.213555097579956
1734,999,7.251150846481323
1812,999,7.287883043289185
1750,999,7.328693151473999
1882,999,7.365940093994141
1868,999,7.410454034805298
2070,999,7.459774971008301
1746,999,7.497575998306274
1772,999,7.538417100906372
1988,999,7.582799911499023
2018,999,7.626560211181641
1902,999,7.674422025680542
1848,999,7.716675043106079
1816,999,7.759754180908203
1794,999,7.804466009140015
1572,999,7.851234197616577
1756,999,7.901836156845093
1588,999,7.950666189193726
1702,999,7.992326021194458
2042,999,8.035697937011719
1822,999,8.086594820022583
1744,999,8.135958194732666
1836,999,8.183363914489746
1642,999,8.227692127227783
2014,999,8.265161037445068
2004,999,8.310655117034912
1824,999,8.384277105331421
1782,999,8.441352128982544
1724,999,8.486212968826294
1992,999,8.536025047302246
1932,999,8.592391967773438
1884,999,8.635706901550293
2076,999,8.68064284324646
1868,999,8.724783897399902
1460,999,8.774395942687988
2086,999,8.826565980911255
1948,999,8.87783694267273
1916,999,8.923961877822876
2036,999,8.968213081359863
