r,l,t
1618,999,0.05445718765258789
1664,999,0.09469389915466309
1822,999,0.13754892349243164
1760,999,0.18108177185058594
1444,999,0.22258996963500977
1866,999,0.2698328495025635
1874,999,0.3217899799346924
1994,999,0.36644411087036133
1784,999,0.4083120822906494
1986,999,0.45055389404296875
1736,999,0.49663686752319336
1786,999,0.548224925994873
1712,999,0.5911250114440918
1700,999,0.6295680999755859
2078,999,0.6651089191436768
1734,999,0.7034869194030762
1882,999,0.7556719779968262
1790,999,0.8055508136749268
1726,999,0.8467838764190674
1968,999,0.8880000114440918
1812,999,0.9358248710632324
2014,999,0.9886248111724854
2042,999,1.037781000137329
1790,999,1.0862579345703125
1932,999,1.1331429481506348
1754,999,1.181854009628296
1906,999,1.2260699272155762
1972,999,1.2687838077545166
1806,999,1.3115620613098145
1852,999,1.3539531230926514
1854,999,1.4030210971832275
1784,999,1.4529609680175781
2026,999,1.5022478103637695
1684,999,1.5524837970733643
1630,999,1.5919737815856934
1892,999,1.6375548839569092
2064,999,1.68668794631958
2004,999,1.7344770431518555
2092,999,1.7733829021453857
1754,999,1.8120651245117188
1732,999,1.8542520999908447
1654,999,1.9046459197998047
1934,999,1.953711748123169
2136,999,1.9927139282226562
1758,999,2.0320329666137695
1908,999,2.076284885406494
1954,999,2.125936985015869
1696,999,2.1724448204040527
2080,999,2.214974880218506
1852,999,2.2555508613586426
1824,999,2.30013108253479
1836,999,2.3502049446105957
1992,999,2.388108968734741
1968,999,2.42956280708313
1868,999,2.466050148010254
1720,999,2.5027220249176025
1894,999,2.554180145263672
1756,999,2.5942211151123047
2060,999,2.633072853088379
1702,999,2.6758909225463867
1906,999,2.71240496635437
1680,999,2.747873067855835
2114,999,2.8013360500335693
1970,999,2.8524649143218994
1886,999,2.903022050857544
1802,999,2.9452648162841797
1752,999,2.9869251251220703
1782,999,3.0327529907226562
1778,999,3.082265853881836
1826,999,3.132128953933716
1850,999,3.174377918243408
1920,999,3.215736150741577
1896,999,3.25862193107605
2002,999,3.310371160507202
1850,999,3.3599979877471924
1736,999,3.409148931503296
2000,999,3.449059009552002
1808,999,3.4927680492401123
1888,999,3.540904998779297
1612,999,3.5950429439544678
1922,999,3.632676839828491
2110,999,3.668360948562622
2174,999,3.7087199687957764
1948,999,3.7599880695343018
2030,999,3.8107059001922607
2000,999,3.8528149127960205
1996,999,3.8944509029388428
1964,999,3.94136905670166
2024,999,3.9911930561065674
1876,999,4.039971828460693
1892,999,4.078288793563843
1828,999,4.117547035217285
1896,999,4.163838863372803
1740,999,4.214876890182495
2094,999,4.258129835128784
2208,999,4.297508955001831
1720,999,4.333945035934448
1794,999,4.372578144073486
1656,999,4.423459768295288
1886,999,4.472738027572632
1736,999,4.516251802444458
1962,999,4.560229778289795
1810,999,4.608520030975342
1864,999,4.6597068309783936
1856,999,4.709298849105835
1770,999,4.757412910461426
1708,999,4.7979230880737305
1986,999,4.843769073486328
2122,999,4.895911931991577
1890,999,4.9442219734191895
1714,999,4.985399961471558
1722,999,5.023132801055908
1658,999,5.065582036972046
1938,999,5.115118026733398
2286,999,5.160199880599976
1484,999,5.195872068405151
1878,999,5.232522964477539
1896,999,5.276364088058472
1580,999,5.326493978500366
1798,999,5.377515077590942
1660,999,5.420881986618042
2168,999,5.462996959686279
1684,999,5.508960962295532
1672,999,5.558394908905029
1794,999,5.598873853683472
1802,999,5.63896918296814
1852,999,5.681489944458008
1754,999,5.723714113235474
1964,999,5.7745139598846436
2124,999,5.8214709758758545
1844,999,5.858196973800659
1738,999,5.896803140640259
1578,999,5.940173149108887
1788,999,5.992455005645752
1804,999,6.0415589809417725
1830,999,6.084310054779053
1782,999,6.127865791320801
1890,999,6.176203966140747
1512,999,6.227413892745972
1706,999,6.277983903884888
1650,999,6.325868129730225
1776,999,6.364539861679077
2040,999,6.410735845565796
1810,999,6.461917877197266
1760,999,6.505276918411255
2080,999,6.547580003738403
2246,999,6.588909149169922
1936,999,6.640876054763794
2070,999,6.683961868286133
1670,999,6.727203130722046
1678,999,6.770212888717651
1796,999,6.81132173538208
2014,999,6.854116916656494
1978,999,6.897608995437622
1854,999,6.941270112991333
1770,999,6.984569787979126
1592,999,7.0299999713897705
1934,999,7.075161933898926
1780,999,7.11870002746582
1584,999,7.162976980209351
1796,999,7.2055299282073975
1810,999,7.245635986328125
1986,999,7.28588604927063
1704,999,7.330157995223999
1920,999,7.369029760360718
1952,999,7.407441854476929
1968,999,7.454137802124023
1750,999,7.500267028808594
1970,999,7.549828767776489
1784,999,7.593009948730469
2150,999,7.631086826324463
1788,999,7.6721720695495605
1632,999,7.7186150550842285
1750,999,7.769523859024048
2072,999,7.819844007492065
1882,999,7.862301826477051
1642,999,7.904528856277466
1974,999,7.949954986572266
1820,999,8.000922918319702
1866,999,8.040777921676636
1976,999,8.079897165298462
1642,999,8.1195969581604
1876,999,8.161991834640503
2090,999,8.210096836090088
1770,999,8.259264945983887
2154,999,8.30881404876709
1908,999,8.348260879516602
1852,999,8.392158031463623
1796,999,8.442461013793945
1668,999,8.488801002502441
1840,999,8.530362844467163
1892,999,8.571727752685547
1594,999,8.617546081542969
1486,999,8.667531967163086
1696,999,8.718461990356445
2008,999,8.760611057281494
1840,999,8.801177740097046
2026,999,8.848445892333984
2140,999,8.899367809295654
1780,999,8.947135925292969
