_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-676.2877,-34.05319127558713,249.604,2,498,20867.899184,2.499,0,5,2.919999,-1.2789769243681802e-16,-2.988122364125378,2.950424966363198,0.9999998128380658,-32.2819915304546,-64.22121942908001,-0.7620603442192078,114.26863167881635,10,882.1220548538931,-1.558172673110647e-07,-2.1403274566456076e-05
-607.68976,-31.700994746443747,274.6057268722467,2,497,20056.619879097205,2.458149779735683,0,5,2.9519930524558986,3.1301442103969174e-17,-2.933279440427782,5.126464699243868,0.9999997949235064,-31.892009161024255,-60.49921652079267,18.103099822998047,95.12533286289198,20,647.4861293801306,-1.6918710876723253e-08,-5.127662354720286e-07
-654.0531,-32.40090868977326,242.2,1,491,19699.012,2.469,0,5,2.7660389999999997,5.186961971048731e-16,-2.9381580950871022,3.436431325334993,0.9999997741305822,-31.244616842519818,-57.26144613471597,-0.8165366053581238,78.40505974479491,30,475.18938498036766,-3.1230952046712446e-08,-2.6873398262239334e-07
-635.3031,-33.11724729658857,258.03,4,496,21405.439100000003,2.4275,0,5,2.77974375,-2.5579538487363605e-16,-3.5884973137315823,2.876328844276702,0.9999998046414039,-30.274877457623923,-67.01242547180394,-0.8265731930732727,104.80825176178753,40,366.4899857482148,-2.481526095721165e-11,-7.103317933854214e-11
-565.4368,-32.10310108363258,253.02207505518763,2,497,22882.54918156611,2.3327814569536423,0,5,2.850073278949753,-2.352790515761921e-17,-3.2260732917092376,5.01245289543778,0.9999997896913776,-29.610599233236595,-60.29002391855376,18.056983947753906,90.43718807407929,50,261.3451095740036,-9.83633174911347e-11,-1.7530288332068267e-10
-595.57104,-34.766939730332666,233.08837209302325,6,498,20785.682629649662,2.4015503875968993,0,5,2.761237906375819,2.9376443855714734e-17,-3.6311350207795963,4.522788162457902,0.9999998084091104,-29.161797042461966,-67.06689147121774,18.051172256469727,108.97078253358683,60,221.8636666808401,-5.618394638418067e-12,-8.71924754619613e-12
-495.0374,-27.058006102293383,235.21939393939394,2,496,21131.540957208446,2.3266666666666667,0,5,2.8308646464646463,-3.875687649600547e-17,-2.768672318288268,4.07006393822984,0.9999998252862095,-28.526376211943976,-60.22018344797056,18.064842224121094,131.04081380913848,70,199.46518354785073,-5.649680723252004e-11,-7.558287329345603e-11
-452.9161,-26.214653553843846,231.15809523809523,2,498,19590.98389478458,2.3142857142857145,0,5,2.701859410430839,-1.804552979708191e-17,-3.2637197547677563,4.066856427384413,0.9999998204824868,-27.258601046992847,-63.61961888979948,18.050138473510742,124.12142413344338,80,156.60717880824004,-3.513123125742368e-11,-4.184341761970245e-11
-489.44955,-29.30644611292101,264.4221286831028,1,498,19163.258969130766,2.3475646422128684,0,5,2.7162403107642588,0.0,-2.5868436684568996,4.201201436488345,0.9999998169349197,-27.845685674258366,-56.10716057764253,18.05276107788086,119.35744237845496,90,147.08492678650038,-3.7736502811469563e-10,-4.2602543715020147e-10
-464.21582,-27.40468673062643,249.19803801348866,2,493,22970.334171503153,2.237277743715512,0,5,2.745048138063824,-1.7425940791173517e-17,-3.8956722377689936,4.21395579614875,0.999999812739989,-26.949822431898326,-68.55691751567224,18.056642532348633,114.06972617618372,100,125.75474939643244,-3.0026647834802134e-11,-3.3237412822018086e-11
-526.43274,-26.75026662240427,274.9931758530184,1,498,21624.647197525504,2.2871391076115484,0,5,2.661383153877419,1.491953250939843e-17,-3.083798237456824,4.503914322631365,0.9999997972662608,-26.370475287939623,-56.79264073020576,18.061330795288086,97.3209712580579,110,102.0502991723609,-8.788885175192718e-10,-1.0210445822167458e-09
-446.34164,-25.19448282224956,232.15403274711946,2,496,21291.151531644777,2.2498483929654336,0,5,2.7041009473003284,-8.617862168103095e-18,-3.516293170851146,4.109591929743492,0.9999998121702872,-25.692336425969746,-63.133626250029494,18.06637191772461,113.37873772079969,120,114.51578529325052,-1.6611823028256367e-11,-1.8277601654403952e-11
-459.48907,-22.715357100171246,215.99888080581982,1,498,23368.07834234002,2.149972020145495,0,5,2.5975419689988852,-3.180941178556688e-17,-2.8264953857098614,3.9481392380367035,0.9999998148160605,-24.568842998922392,-55.095273276452026,18.0712833404541,116.64101969505025,130,116.67269268084094,-2.7071211938789475e-09,-3.0659110805686396e-09
-418.94034,-25.435840315391342,245.16052318668252,3,498,22213.568762627583,2.218192627824019,0,5,2.6248057702666974,1.4785372028301728e-17,-2.9058421417850533,4.191792046047395,0.999999798577726,-23.546258478677995,-52.39949656148151,18.07567596435547,98.59274168828082,140,99.68340776880898,-8.416822794288237e-12,-8.674172491396348e-12
