_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-748.65,-75.48388428884395,240.92919276270007,1,499,20018.211931359503,2.5015657620041756,0,5,2.9201436861764023,3.461238100431942e-16,-2.9576202537242824,4.401566281290417,0.9999999029020253,-70.66182775841311,-131.58269224868013,20.0,424.2713880388582,60,3674.4915219834743,-2.67583732949106e-10,-5.0099878246001595e-08
-741.26666,-74.25122068008889,260.5667643004824,1,498,19724.44816141171,2.513525155065472,0,5,2.91435876556295,1.95876701794652e-17,-4.455384834791409,3.610519516176734,0.9999999191716009,-69.33783670095606,-179.58092412038565,20.0,612.2548913789421,120,2061.9977047199545,-8.630207659621192e-12,-3.3249891728814873e-10
-649.95,-71.9239776007332,268.68676496401616,1,498,23141.275325974773,2.3433385992627698,0,5,2.7724117429949136,9.977781088433915e-17,-3.5457120507754505,3.3507274736256636,0.9999999175262738,-61.25563151967382,-147.23967316968105,20.0,588.069574037306,180,870.5760596924259,-1.6466827901240322e-12,-7.087885833811924e-12
-602.86664,-71.51194112391295,247.16955771501227,1,498,23111.973157365002,2.315593497411679,0,5,2.691700353872892,6.711147445195751e-17,-2.721525959691727,3.162259572279029,0.999999919224755,-58.297737455157446,-125.68288576295514,20.0,613.0605762896041,240,651.3721843025764,-1.5010215292932116e-13,-2.575717417130363e-13
-625.85,-73.11905897887134,246.22883670125614,1,498,20834.922328830606,2.3999635900236664,0,5,2.71987620475478,5.174168838595304e-18,-3.4272070620816897,3.1651448262633974,0.9999999216297311,-60.77410092518534,-148.23601592449197,20.0,651.2641637634116,300,666.8894603222886,-1.5876189252139739e-13,-2.0694557179012918e-13
-556.7,-67.26992507303125,277.7564852740394,1,499,21547.90432452987,2.315291593524478,0,5,2.7493331654120694,-1.9402376244668233e-17,-3.143438565509737,3.252941778205643,0.999999916237287,-57.670400372219994,-132.7261957943944,20.0,570.1097656115097,360,571.2179549860975,-1.9517720772910252e-13,-1.8807178037150152e-13
-537.7167,-66.81388605007119,272.4364928435592,1,498,21864.944795787134,2.3567210489440495,0,5,2.6714689402025233,2.84473120112141e-17,-2.873422862394838,3.0041078898179725,0.9999999219311256,-56.96048142357304,-130.57299023703922,20.0,656.3029138545974,420,656.6195391849416,-1.0043077480759166e-12,-6.17061957086662e-13
-457.11667,-59.59806561277123,259.66925449324685,1,498,21898.142229232584,2.2626821227267895,0,5,2.5408034836610476,-2.418097154559524e-17,-2.642149140740156,3.0380448118885295,0.999999914555032,-51.11115656720626,-112.95562249891307,20.0,547.8820500981152,480,558.1236222116768,-5.320410778608675e-12,-9.565681580170349e-13
-424.03333,-56.34288391276035,268.9069504188363,1,498,21439.23313484767,2.2411138781978717,0,5,2.5370644599771945,-2.815145545800714e-17,-2.606055897906852,3.062809480278668,0.9999999129008719,-50.32930861891022,-110.170462855853,20.0,527.2695590774763,540,529.0343742274603,-0.0027669824447598135,-4.174660617195514e-12
-362.41666,-53.27850086181924,250.05585235551237,1,498,24259.711062155955,2.1402379796017486,0,5,2.4012900842107796,1.3803647125014088e-17,-3.8010318391300975,2.6361045920034454,0.9999999195173873,-45.43012494141887,-139.94545896063332,20.0,620.5807123987885,600,630.1366742413534,-0.0052337875478507545,-0.001746930146720338
-325.83334,-47.03695111078703,240.96795677305855,1,498,25019.82543716727,2.039582809751194,0,5,2.347892864404169,1.4285855456347828e-17,-2.8477981932529426,2.625035662011608,0.9999999169744404,-42.39480720453663,-111.1242201482121,20.0,586.2253915998161,660,596.1220801462448,-0.012019077534610956,-0.01079519077252833
-332.25,-51.17541682995857,251.2830841638981,1,498,24244.829193367223,2.142718715393134,0,5,2.5437232841126356,-3.1474761273980073e-17,-2.3493944429995333,2.807548383301532,0.9999999187834676,-47.115175084973274,-104.9187687813532,20.0,612.8286968607392,720,666.4935842591549,-0.08639752889941144,-0.012274339072431362
-284.35,-45.0410559752041,253.73402633402634,1,498,27088.93535641511,2.070963270963271,0,5,2.299884519094498,3.151402293045489e-17,-3.651187167533488,2.933421338340842,0.999999910375486,-40.17646516815898,-107.85082897537886,20.0,580.0167807439557,780,684.7051694502218,-0.17300358610589717,-0.14614982344089222
-372.23334,-52.85333039701161,265.06890353505094,1,498,23393.731980882847,2.1576992210904735,0,5,2.4544598951521803,1.7029184799523073e-17,-2.988686532233577,3.237937505282816,0.9999999117064773,-46.306435392139775,-115.06789754314848,20.0,563.4600243238583,840,623.6792193449612,-0.0968123321703489,-0.08726554476767845
-253.71666,-41.2298987939085,259.16726199720455,1,498,22305.959754438427,2.086038204690169,0,5,2.3895534764096364,1.765597728243765e-17,-2.697054258497718,2.897331973802442,0.9999999147109977,-39.984145888328015,-105.91307788423579,20.0,587.0713906829724,900,676.4760746349689,-0.14208364838649823,-0.12522698893795403
-267.43332,-43.59807184051941,271.63040099471556,1,498,24249.13538911493,2.10460055952751,0,5,2.4256456051349065,0.0,-3.0377043498498946,2.6212404054264433,0.9999999188370152,-42.15390085511464,-114.94154552340446,20.0,629.3399209172168,960,676.086988096348,-0.07185440829758982,-0.1043734510428882
-287.55,-43.95862542107714,289.04977628635345,1,498,26186.933204647936,2.076761744966443,0,5,2.3519096479325254,-3.973952660850672e-18,-3.2608393426781572,3.0119632394156874,0.9999999075285567,-41.239816417781284,-113.74943976359762,20.0,519.6094649865416,1020,576.2791266910696,-0.10891240595956542,-0.10875993721959554
-222.5,-40.57998092551634,265.78314134211007,1,498,25378.223222825334,2.0797220698482355,0,5,2.4833134352799724,3.8976562575979166e-17,-2.7456325426755144,2.3938720372767306,0.9999999247362479,-40.36182514991977,-110.57691736866819,20.0,667.0099915135405,1080,694.5834394636282,-0.04124393175054153,-0.06685734847101821
-238.43333,-41.061680656391765,252.08499221048987,1,498,25077.23754004235,2.0216375281287866,0,5,2.4878475521869317,6.149755372685652e-18,-2.4556115671341083,2.540008493474255,0.9999999193065198,-41.42456016127976,-103.81721973848752,20.0,654.2397921975933,1140,667.7272351470305,-0.020131739606120025,-0.05071496136641618
-184.9,-37.61442185757598,269.71566884015016,1,498,22753.952548401696,1.9871566884015017,0,5,2.3991632453558784,-1.2635614743807353e-17,-2.4041394242779814,2.5285030966494366,0.9999999140564596,-35.36841712751694,-92.2211071304489,20.0,558.369052052694,1200,605.8516836498609,-0.07324285123837515,-0.026289267563961438
-170.98334,-37.618692333706825,233.12960031658093,1,498,24044.24022789724,1.978432924416304,0,5,2.1968043507640242,-5.342426584662407e-17,-3.035096417327494,2.4532090135029754,0.99999991058771,-32.11212717443096,-102.76399813684137,20.0,529.8760140432175,1260,573.0016489877127,-0.07909127676962946,-0.10618498588893766
-211.98334,-36.156397789898975,289.5116651825467,1,498,24655.781475677744,1.9948352626892254,0,5,2.4101247057200332,-2.5308735022621555e-17,-2.828083096335039,2.5625392625797265,0.9999999132389911,-37.96290409964648,-104.26371026203317,20.0,571.024167516989,1320,606.3502188295204,-0.05504714434421598,-0.05316842691599355
-163.11667,-32.059685346965146,248.06816822802472,1,498,28877.636971589796,1.8933625672712777,0,5,2.109218451961358,-5.665080612000002e-18,-3.3147768651112854,2.429969672972091,0.9999999123530747,-31.730508013645526,-111.08837681188652,20.0,578.883822791604,1380,656.1244656075295,-0.12776248145455926,-0.10417433664779185
-190.61667,-29.03038952455862,249.9835098073251,1,498,23490.335260099233,1.90539836833883,0,5,2.156820362913498,-3.9467744392159706e-17,-2.8910826268074596,2.7240735909043234,0.9999999045809663,-33.96031174136487,-97.69466363408513,20.0,500.19052970229944,1440,567.4885472594258,-0.13303187069500355,-0.12846032542970387
-176.83333,-34.983766189356885,264.6134205528592,1,498,22558.613164476224,2.0858830976999365,0,5,2.432590331132333,2.3989626022708594e-17,-2.4221279714659936,2.286488812939047,0.9999999188044156,-36.36178656765837,-95.98209716643174,20.0,630.3812010742447,1500,656.8085627968969,-0.04174734332539676,-0.03406116477313059
-109.9,-32.04871644628204,227.6937689969605,1,498,26949.19674942181,1.8421985815602837,0,5,2.06805717231815,1.4398029093416418e-17,-3.43512660856012,2.258717425365733,0.999999905373078,-24.150066679644976,-100.34299488882664,20.0,473.4103985504705,1560,553.7864210414855,-0.04524527332480077,-0.13793682388057316
-132.28334,-26.69396006246051,221.35951535408398,1,498,25567.183679564572,1.756841445581784,0,5,1.966359607824775,-1.1874539139504494e-17,-3.1848343815371973,2.359001927689506,0.9999998993346573,-26.803610931438254,-90.14390801415364,20.0,415.6103320234282,1620,453.20724324923214,-0.08696475982716945,-0.04666094186243197
-157.15,-30.683633622229333,225.88857033639144,1,498,26541.89335560132,1.8302752293577982,0,5,2.0094198019246416,2.172913565015597e-17,-3.178581287632048,2.518610714056709,0.999999902261592,-29.35792386671606,-96.58034971010234,20.0,475.95074608329446,1680,531.5417206670148,-0.11297664647037142,-0.08152066979610306
-107.8,-28.904696608476915,256.3180202351654,1,498,23768.542286701253,1.9351927809680065,0,5,2.2728030322913364,2.331559428252995e-17,-2.553925287251596,1.974768675511201,0.9999999179362363,-26.36276889973646,-89.39953711380878,20.0,601.1300414496485,1740,634.8050550801438,-0.04538528449046009,-0.06311008618860381
-97.8,-27.05521637368326,253.4920634920635,1,498,19930.07298227933,1.959729570840682,0,5,2.2526404912419675,3.3417647772373907e-17,-3.1558954314452032,1.9208688868428216,0.9999999164910159,-25.43123260846591,-101.58794445378577,20.0,602.1699303033771,1800,632.8702354888518,-0.044219527722211716,-0.04854186294710838
-93.76667,-30.29675400715134,253.28066465256796,1,498,25877.63089502652,1.8803625377643505,0,5,2.241880231104134,-1.71732383265281e-17,-3.135246269025048,1.7784336875581586,0.9999999163916652,-23.559426112340606,-101.58441003069947,20.0,580.5479928334765,1860,604.5617626542694,-0.040244827422652785,-0.0496561977252834
-111.38333,-27.25509932057121,208.45221883071144,1,498,24619.903974297267,1.7743601784456444,0,5,1.9333552785832975,-2.6693317145249127e-17,-3.7420021318054344,2.0600654132430374,0.9999999093633627,-24.08762309803915,-108.02915071748232,20.0,507.0570988415228,1920,532.9540751616618,-0.050582088367836064,-0.03666152329326122
-84.9,-27.585112986282482,229.2599875156055,1,498,23154.746076903717,1.8339575530586767,0,5,2.087910555002252,8.870695827217231e-18,-2.749256647442336,1.8723673726728958,0.9999999135783407,-21.982824967427565,-86.95522624906818,20.0,553.3058476889444,1980,576.0448415654593,-0.03701692722378458,-0.03691795165045608
-97.95,-22.745560172936177,234.70871623503203,1,494,21906.24987947141,1.8916736285157338,0,5,2.1316794880235643,-2.3744118154055143e-17,-2.9506685852921715,2.004714453858156,0.9999999147573181,-25.51101682062174,-96.26531005542758,20.0,578.2106265758683,2040,598.980113159488,-0.03176665050947891,-0.03390978833278324
-54.65,-21.795760933432053,199.57005347593582,1,498,24346.262204809973,1.7219251336898396,0,5,1.807166347336212,-6.586135875138184e-17,-3.47382083220032,1.976639293161451,0.999999892842058,-14.521508925450064,-81.72761715462998,20.0,340.7200986663272,2100,392.8926255802853,-0.05718626683836736,-0.08107460104615671
-78.11667,-24.792224367550673,268.5608930987821,1,498,22809.393112057587,1.9377537212449256,0,5,2.2938249948271534,-1.922984399892017e-17,-2.7548406052978986,1.8186998296186032,0.9999999152116524,-22.150495338630645,-87.88136412385028,20.0,573.7298057616648,2160,594.0302757454642,-0.01733221360463988,-0.023434073412897716
-83.76667,-27.18332537329005,237.38427810836205,1,498,27219.999214143765,1.8020670216097714,0,5,2.0691845780323757,-1.7802511387663018e-17,-3.525260169061405,1.8249876379648537,0.999999912848386,-21.776075500923675,-89.4484112149115,20.0,547.5385254102991,2220,571.3146809316156,-0.04309607190542031,-0.0376024862742268
-70.55,-24.47494618543322,236.63146997929607,1,498,22614.913875064834,1.8830227743271222,0,5,2.1474619463412337,-5.394044232823397e-17,-2.9704917687646093,2.0188083310162477,0.9999999097397098,-19.585424895999335,-85.97617555807585,20.0,512.9264716172853,2280,534.043145119819,-0.03682816160509561,-0.04335425064497889
-85.6,-28.787541771367703,212.07371794871796,1,498,27437.421430465904,1.7377622377622377,0,5,1.9405553653805405,-1.2422075800001751e-17,-3.1073293402474746,1.9483607516515915,0.9999999042540245,-20.36777458643379,-85.60632664433096,20.0,469.95691703008714,2340,492.17468142440646,-0.04663035134337057,-0.03873390454807124
-47.65,-19.54597747255152,224.00470688917414,1,498,19794.39664023287,1.9747539580658964,0,5,2.145276201765463,-2.736364836046599e-17,-3.736533091488493,1.5982393708140235,0.99999991098371,-14.932642567946615,-98.02614177242194,20.0,513.7579491529857,2400,540.2224498602358,-0.03695340794745938,-0.04927071202916111
-66.35,-18.820382267122138,230.60809567617295,1,498,16649.19814359833,1.9414290095062865,0,5,1.8962934501121436,0.0,-2.845020496286641,2.2573043204777345,0.9999998841395674,-17.836480900178078,-68.07705312245031,20.0,290.3954940469512,2460,298.1628241251066,-0.022578927453154263,-0.06753360615309001
