#{"t_start": 1643879416.5328488, "env_id": "ElectricityMarket-v0"}
r,l,t
-2644.976009,24,1.483942
-2831.775109,24,1.494408
-2713.991148,24,1.50599
-2583.170751,24,1.516821
-2742.080505,24,1.528585
-2694.854224,24,1.53959
-2729.793581,24,1.549563
-2777.14842,24,1.558752
-2641.642706,24,1.569906
-2734.560131,24,1.580459
-2765.953391,24,1.591345
-2706.0667,24,1.602267
-2733.932404,24,1.613417
-2807.367535,24,1.623904
-2669.483991,24,1.63457
-2663.869498,24,1.644192
-2700.479068,24,1.655277
-2772.571741,24,1.666996
-2697.688332,24,1.677847
-2751.5555,24,1.688981
-2778.743123,24,1.699615
-2703.641888,24,1.709571
-2797.028668,24,1.72069
-2796.604442,24,1.730851
-2753.441501,24,1.744759
-2801.441602,24,1.761026
-2627.92058,24,1.776822
-2739.090577,24,1.789206
-2787.494649,24,1.800099
-2772.636778,24,1.809597
-2816.928263,24,1.819595
-2708.687879,24,1.828486
-2686.96346,24,1.837755
-2710.877181,24,1.8469
-2778.835755,24,1.857938
-2799.647805,24,1.872145
-2696.99902,24,1.886283
-2692.799949,24,1.896578
-2695.166583,24,1.906831
-2743.729003,24,1.922267
-2778.514617,24,1.939093
-2737.037401,24,1.952073
-2752.685872,24,2.540685
-2850.071548,24,2.559912
-2741.144798,24,2.575757
-2746.586213,24,2.586775
-2716.670299,24,2.597236
-2709.095606,24,2.612794
-2668.687111,24,2.623038
-2749.952717,24,2.632394
-2732.096409,24,2.641792
-2696.970878,24,2.651497
-2724.585198,24,2.661702
-2591.626434,24,2.671838
-2650.916681,24,2.68067
-2754.934306,24,2.689718
-2690.745487,24,2.700716
-2765.356592,24,2.712349
-2786.935393,24,2.721035
-2756.555819,24,2.730698
-2782.617003,24,2.740926
-2799.130648,24,2.751236
-2801.94541,24,2.76979
-2587.880983,24,2.781751
-2680.484667,24,2.79323
-2678.509495,24,2.804033
-2663.85851,24,2.813418
-2739.583351,24,2.823703
-2559.610262,24,2.833728
-2716.816624,24,2.844825
-2702.117541,24,2.854119
-2666.221915,24,2.86546
-2743.578137,24,2.876045
-2735.872965,24,2.886168
-2685.004021,24,2.896102
-2818.202284,24,2.906098
-2820.431946,24,2.915932
-2716.682877,24,2.925963
-2673.991526,24,2.936063
-2736.073989,24,2.946136
-2732.676789,24,2.956652
-2767.676295,24,2.964917
-2749.708339,24,2.975031
-2694.371296,24,2.982993
-2602.059765,24,2.99253
-2757.989447,24,3.069317
-2736.740485,24,3.082596
-2706.899926,24,3.095255
-2765.444929,24,3.105181
-2718.128899,24,3.116469
-2746.830895,24,3.12744
-2710.876982,24,3.1402
-2671.867223,24,3.152582
-2760.951563,24,3.163677
-2738.355177,24,3.17443
-2738.152128,24,3.186142
-2704.601161,24,3.19763
-2712.473748,24,3.208942
-2756.376212,24,3.219991
-2748.062313,24,3.233099
-2653.557225,24,3.244647
-2681.503668,24,3.25587
-2647.796638,24,3.267438
-2747.994571,24,3.278612
-2671.23404,24,3.289962
-2677.874522,24,3.300669
-2696.440705,24,3.313146
-2660.497689,24,3.325141
-2713.919381,24,3.336035
-2655.987556,24,3.347188
-2670.542294,24,3.358201
-2766.732306,24,3.368726
-2701.737819,24,3.380434
-2652.791469,24,3.392163
-2749.655461,24,3.401835
-2726.442476,24,3.412694
-2748.711966,24,3.422097
-2692.684018,24,3.432907
-2762.311859,24,3.443162
-2749.054114,24,3.453509
-2729.274407,24,3.463147
-2693.70166,24,3.472434
-2645.54313,24,3.482044
-2712.26719,24,3.491194
-2732.347422,24,3.527408
-2735.776453,24,3.546338
-2724.810991,24,3.561348
-2757.744098,24,3.571277
-2755.343717,24,3.670983
-2742.14608,24,3.685476
-2774.329856,24,3.700996
-2645.295013,24,3.711959
-2650.999724,24,3.725041
-2719.935752,24,3.738321
-2761.708144,24,3.754381
-2653.329007,24,3.768381
-2750.16807,24,3.785009
-2751.211267,24,3.797808
-2719.20969,24,3.82297
-2734.476885,24,3.841296
-2686.059529,24,3.857156
-2726.625601,24,3.871987
-2755.905307,24,3.885582
-2729.617249,24,3.902246
-2767.50621,24,3.914389
-2725.966953,24,3.929641
-2781.118907,24,3.943459
-2780.15819,24,3.95862
-2661.231808,24,3.972907
-2814.365604,24,3.987684
-2690.07672,24,3.999233
-2777.780078,24,4.010455
-2788.329984,24,4.021017
-2649.767046,24,4.032081
-2713.107079,24,4.042178
-2737.090928,24,4.052535
-2721.863041,24,4.062643
-2743.987287,24,4.071896
-2658.762645,24,4.08287
-2778.154965,24,4.093581
-2668.186256,24,4.104285
-2681.158372,24,4.113856
-2782.513363,24,4.124416
-2716.1901,24,4.135256
-2805.648685,24,4.148097
-2846.480219,24,4.160973
-2723.765871,24,4.171195
-2669.686957,24,4.180247
-2725.692935,24,4.189714
-2786.038047,24,4.199731
-2773.540819,24,4.278037
-2732.420112,24,4.292654
-2641.049467,24,4.306283
-2781.424801,24,4.318743
-2753.577704,24,4.329758
-2686.519386,24,4.341168
-2607.139711,24,4.351627
-2724.925614,24,4.362717
-2722.392421,24,4.37362
-2666.598234,24,4.384294
-2625.51382,24,4.394665
-2694.178934,24,4.404842
-2744.393012,24,4.415896
-2560.705471,24,4.426781
-2589.831996,24,4.438105
-2778.627832,24,4.448129
-2604.909799,24,4.458662
-2769.976857,24,4.469633
-2790.964228,24,4.479548
-2637.931849,24,4.48883
-2640.140634,24,4.49953
-2684.372341,24,4.510705
-2673.593777,24,4.52108
-2677.235975,24,4.532634
-2601.970753,24,4.544078
-2757.156193,24,4.55456
-2792.673246,24,4.566451
-2776.398816,24,4.577418
-2679.179378,24,4.589297
-2644.215818,24,4.59887
-2699.86365,24,4.609053
-2716.756193,24,4.619588
-2671.017519,24,4.629467
-2762.154919,24,4.639053
-2693.839895,24,4.649831
-2652.711877,24,4.66054
-2685.376409,24,4.671726
-2651.117035,24,4.682814
-2647.853132,24,4.693178
-2734.72236,24,4.703698
-2674.901052,24,4.714939
-2718.008865,24,4.725439
-2636.826136,24,4.736038
-2743.514712,24,4.830998
-2697.92214,24,4.849067
-2671.787178,24,4.862745
-2589.58797,24,4.874679
-2741.145845,24,4.886119
-2722.208597,24,4.897863
-2629.946427,24,4.910323
-2811.271789,24,4.921172
-2731.506004,24,4.932609
-2681.557201,24,4.943645
-2696.459968,24,4.956551
-2729.83501,24,4.968397
-2729.957052,24,4.979874
-2801.820406,24,4.99174
-2715.042271,24,5.002706
-2821.659613,24,5.012349
-2624.20932,24,5.021366
-2873.510612,24,5.031556
-2721.877319,24,5.041534
-2771.998184,24,5.052033
-2705.363048,24,5.061921
-2699.313971,24,5.071332
-2718.171468,24,5.081202
-2653.547107,24,5.092024
-2660.367538,24,5.101617
-2758.951187,24,5.111178
-2701.641189,24,5.121321
-2678.409019,24,5.1313
-2697.185466,24,5.141358
-2608.903003,24,5.151965
-2648.832798,24,5.1618
-2786.348205,24,5.171923
-2748.03044,24,5.182706
-2762.750846,24,5.193846
-2695.028673,24,5.204004
-2736.798202,24,5.21427
-2757.94523,24,5.223176
-2776.431028,24,5.232259
-2591.652926,24,5.242165
-2649.477845,24,5.251052
-2661.33301,24,5.260916
-2679.369217,24,5.270133
-2687.946433,24,5.279372
-2761.558566,24,5.355046
-2655.962426,24,5.366878
-2729.318776,24,5.377699
-2563.680378,24,5.388885
-2761.372387,24,5.399983
-2700.26644,24,5.4099
-2646.270255,24,5.426099
-2784.837207,24,5.441375
-2634.772242,24,5.455494
